idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-755.3999,20,0,0,911221,0,0,229.40945,0,0,1866488.9,-5251.415035,-1493.950533,6745.365568,-90304.26328,-16175.35138,225030.3656,119.54498,15.061392,2446,2454,2454,2407,2407,2441,2441,2439,2439,2490,2490,2504,2504,2400,2400,2308,2308,2351,2351,2346,   
1,-1101.582,20,0,0,1837900,0,0,449.4508,0,0,7032652,-13462.51527,-3262.619066,16725.13434,-254292.4736,-41413.76764,1102954.095,230.84297,41.797825,4813,3645,3645,4803,4803,4830,4830,4798,4798,614,614,460,460,4927,4927,214,214,4982,4982,777,   
2,-722.92175,20,0,0,1283301,0,0,302.99005,0,0,5203496.5,-7602.415144,-3019.83267,10622.2478,-129971.6256,-30324.80952,662682.383,179.78658,19.01019,1140,1598,1598,1143,1143,1138,1138,1589,1589,1461,1461,6856,6856,1126,1126,7196,7196,1129,1129,2657,   
3,-402.37775,20,0,0,1843726,0,0,194.2575,0,0,2479314.5,-3582.011253,-1569.049956,5151.061207,-53893.43639,-19409.91337,255967.2133,133.93742,14.901745,7851,7839,7839,8188,8188,8191,8191,7799,7799,8199,8199,8062,8062,7528,7528,8334,8334,8118,8118,7786,   
4,-11.5200205,20,0,0,219028,0,0,166.62714,0,0,1817807.6,-109.6693824,-81.31294478,190.9823271,-1308.003103,-1137.434723,4068.62319,113.54173,18.799604,7965,7963,7965,7966,7965,7968,7963,7968,7968,7965,7968,7966,7966,7968,7966,7965,   ,,,,
5,-913.9942,20,0,0,2017602,0,0,263.95883,0,0,5168933.5,-9360.528469,-2438.693408,11799.22187,-157564.3981,-22270.20832,593967.9625,172.39102,42.66851,5113,5119,5119,2701,2701,5202,5202,5177,5177,1430,1430,1295,1295,6772,6772,2669,2669,1469,1469,1456,   
6,-108.08091,20,0,0,244004,0,0,545.98004,0,0,759082.56,-1071.223995,-701.1273042,1772.351301,-15496.75027,-16493.11183,58240.98451,143.38101,13.569108,2767,2720,2720,2805,2805,2716,2716,2753,2753,2739,2739,6671,6671,2758,2758,2729,2729,2794,2794,2719,   
7,-744.78876,20,0,0,2401344,0,0,232.37083,0,0,6932582.5,-6332.621818,-2028.28886,8360.910678,-108102.55,-28234.25615,465368.4977,145.14525,24.231422,2424,2437,2437,2472,2472,2520,2520,2430,2430,2490,2490,2453,2453,2343,2343,2384,2384,1069,1069,1377,   
8,-262.17746,20,0,0,1815949,0,0,337.32913,0,0,10758685,-3509.043635,-1885.762093,5394.805729,-54078.07794,-26121.51475,228552.928,206.26517,41.676422,7616,7694,7694,7610,7610,7741,7741,7682,7682,7665,7665,8094,8094,8315,8315,8213,8213,8207,8207,8125,   
9,-50.162506,20,0,0,489692,0,0,311.94708,0,0,4383336.5,-544.2612788,-543.7568464,1088.018125,-8657.960532,-7888.648615,59145.07211,172.59825,26.821714,3994,3990,3990,3991,3991,1195,1195,3978,1195,3976,3978,1196,1196,1195,3976,3988,3988,3968,3968,3970,   
