idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-512.92377,20,0,0,997137,0,0,289.60718,0,0,4849435.5,-5533.962963,-2385.097444,7919.0604,-85463.91112,-25806.96642,414761.8325,166.62108,27.20038,6515,6542,6542,5919,5919,3138,3138,1157,1157,1165,1165,7122,7122,7132,7132,3076,3076,3125,3125,3119,   
1,-693.737,20,0,0,1458941,0,0,244.51367,0,0,5617053,-6428.425794,-2821.968688,9250.394482,-113395.1315,-59634.92372,470150.5947,163.4555,17.998444,5730,2864,2864,5737,5737,4056,4056,4030,4056,2880,4030,6684,6684,5719,5719,5746,5746,2932,2932,4056,   
2,-2132.3672,20,0,0,2580198,0,0,191.60226,0,0,4368495,-15085.97913,-2828.366674,17914.3458,-244455.6097,-27337.03794,779421.5733,114.64048,12.589012,633,19,19,623,623,683,683,806,683,597,806,683,597,178,178,780,780,786,786,461,   
3,-254.96498,20,0,0,1331550,0,0,314.11002,0,0,8518556,-2735.449953,-1266.500767,4001.950721,-44363.15485,-15379.83601,196138.4444,173.99706,36.38946,6938,6983,6983,7194,7194,6959,6959,6973,6973,6976,6976,7008,7008,7011,7011,7087,7087,7115,7115,7084,   
4,-1600.4972,20,0,0,2370298,0,0,312.85303,0,0,8528892,-16719.99015,-3272.220065,19992.21022,-306000.822,-35821.96849,1159646.072,191.1911,18.623459,701,6181,6181,561,561,27,27,163,163,6199,6199,6264,6264,109,109,362,362,3421,3421,674,   
5,-207.67574,20,0,0,2124042,0,0,331.81964,0,0,7263100.5,-2593.966031,-1416.64658,4010.612613,-38896.8901,-19434.05475,155868.7607,187.29626,31.99902,7650,8124,8124,7813,7813,8106,8106,8435,8435,7363,7363,7651,7651,7620,7620,8001,8001,7610,7610,7681,   
6,-642.13983,20,0,0,2950945,0,0,300.47086,0,0,11863701,-7234.737327,-3301.643716,10536.38105,-112789.4267,-44261.41112,509420.1512,175.64621,23.63245,8136,8087,8087,7829,7829,8111,8111,7675,7675,7692,7692,7664,7664,8092,8092,7860,7860,7833,7833,8321,   
7,-521.04016,20,0,0,648152,0,0,339.93176,0,0,2428784.2,-4167.278779,-1430.909277,5598.188057,-96754.22258,-23651.70881,274018.4723,185.69437,57.21005,6504,3245,3245,3231,3231,3387,3387,3391,3391,3458,3458,3710,3710,3668,3668,3620,3620,3289,3289,4751,   
8,-1723.0112,20,0,0,1916112,0,0,244.63565,0,0,7568843.5,-13433.70676,-2629.911485,16063.61824,-236993.1298,-27563.95372,831654.9826,137.5459,31.295807,3374,3366,3374,6282,3366,3374,6282,492,492,6260,6260,6273,6273,930,930,706,706,409,409,728,   
9,-136.61427,20,0,0,223770,0,0,496.16006,0,0,1152726.1,-1491.583515,-884.1758391,2375.759355,-25057.85653,-24196.94748,74305.56934,183.4205,48.59476,2804,2799,2799,2786,2786,2727,2727,2726,2726,2722,2722,2754,2754,2834,2834,5637,5637,2444,2444,2490,   
10,-693.1175,20,0,0,3500061,0,0,419.0443,0,0,21312186,-7692.421852,-3258.020494,10950.44234,-115576.3125,-35748.78044,705031.0077,166.74852,26.411694,7037,6991,6991,7044,7044,7002,7002,7034,7034,7164,7164,7165,7165,7124,7124,7110,7110,7111,7111,7066,   
11,-528.3395,20,0,0,2431244,0,0,341.9768,0,0,8058506.5,-6150.957233,-2354.425594,8505.382827,-105639.7796,-43126.91821,441090.2352,199.94678,33.631958,5257,5221,5221,5273,5273,6676,6676,5223,5223,2038,2038,5287,5287,1910,1910,1959,1959,2210,2210,1952,   
12,-531.98047,20,0,0,972911,0,0,218.9346,0,0,2707356.8,-4903.882982,-2086.113409,6989.996392,-73841.54118,-26776.29575,316609.3156,138.80498,19.344479,7344,8212,8212,7804,7804,7836,7836,7864,7864,8209,8209,8320,8320,7879,7879,7910,7910,7461,7461,7672,   
13,-792.16504,20,0,0,1839355,0,0,267.49677,0,0,6711397,-8769.07923,-3726.753146,12495.83238,-155240.8685,-69744.60435,791310.6866,195.97037,42.60967,1943,6579,6579,2251,2251,2237,2237,2088,2088,1925,1925,6667,6667,6331,6331,6351,6351,5547,5547,5518,   
