#NOTE: 1 is the baseline and 2 is the scenario
Ck1_road,8000590.30751847
Ck1_bus,3080493.3298676056
Ck1_rail,8979350.362518104
Ck2_road,9187416.918622963
Ck2_bus,2805949.3068874218
Ck2_rail,8067067.774481333
CkDiff_road,1186826.611104493
CkDiff_bus,-274544.0229801838
CkDiff_rail,-912282.5880367709
C1,20060433.999904178
C2,20060433.99999172
CDiff,8.754059672355652E-05
CBark1_road,12.553220849515574
CBark1_bus,26.6590352594903
CBark1_rail,28.940334184917855
CBark2_road,13.73886257737742
CBark2_bus,26.550010761956507
CBark2_rail,28.68750846907997
CBarkDiff_road,1.1856417278618459
CBarkDiff_bus,-0.10902449753379173
CBarkDiff_rail,-0.2528257158378864
CBarkPCTDiff_road,0.0944492048753846
CBarkPCTDiff_bus,-0.004089589006975799
CBarkPCTDiff_rail,-0.008736102154951809
CBar1,68.15259029392372
CBar2,68.97638180841389
CBarDiff,0.8237915144901677
CBarPCTDiff,0.012087457144877066
Pk1_road,8000590.307920049
Pk1_bus,3080493.329995243
Pk1_rail,8979350.362919828
Pk2_road,9187416.918983854
Pk2_bus,2805949.3070046264
Pk2_rail,8067067.774746973
PkDiff_road,1186826.6110638054
PkDiff_bus,-274544.0229906165
PkDiff_rail,-912282.5881728549
PkPCTDiff_road,0.14834238042272038
PkPCTDiff_bus,-0.08912339472296162
PkPCTDiff_rail,-0.10159783851848796
Pk1PCT_road,0.3988243877269546
Pk1PCT_bus,0.15356065227038465
Pk1PCT_rail,0.4476149600026607
Pk2PCT_road,0.457986946773005
Pk2PCT_bus,0.1398748056441757
Pk2PCT_rail,0.40213824757785094
alpha,8.997563228795719E-06
alphak_road,8.71539653782361E-06
alphak_bus,1.031922583910733E-06
alphak_rail,1.9832153265672455E-06
nPlus_road,0
nPlus_bus,0
nPlus_rail,0
nZero_road,2523845
nZero_bus,71166096
nZero_rail,71166096
nMinus_road,68642251
nMinus_bus,0
nMinus_rail,0
Rho_road,0.9647645634931371
Rho_bus,0
Rho_rail,0
RhoPlus_road,0
RhoPlus_bus,0
RhoPlus_rail,0
RhoMinus_road,0.9647645634931371
RhoMinus_bus,0
RhoMinus_rail,0
d,0
delta,0
t,0
that,0
chik_road,36618166.2514577
chik_bus,0
chik_rail,0
chi,36618166.2514577
