score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-993.29034,31621.287,1195.6053,3000,28.04035,4751,4752,5830
-993.28564,9393.425,335.17438,1000,24.971466,7662,7663,-7851
-993.28424,24437.996,1422.5779,3000,21.650694,429,430,6224
-993.27423,8241.986,725.40344,1751,12.491947,7522,7523,-8393
-993.27264,4492.503,458.17267,1000,11.91975,19,20,-3322
-993.26904,13005.301,781.6052,1824,18.90798,8328,-8329,8422
-993.2579,28473.488,1478.9598,3000,25.1273,1526,1527,3885
-993.2575,11408.203,550.1876,1601,18.863832,-8295,8296,8419
-993.2482,12194.307,972.6175,1948,16.549164,-8310,8336,8389
-993.2446,6295.2847,385.1327,1000,16.633757,-7867,7868,8208
-993.2118,9005.017,647.5324,1416,16.722054,7851,-7852,8302
-993.2038,10820.177,565.932,1435,19.80349,-8119,8120,8363
-993.19604,9357.319,754.3919,1556,15.776239,671,-869,884
-993.1843,24264.988,1227.0776,3000,21.182417,8368,8369,8429
-993.1751,1870.1636,131.3681,427,11.454643,7470,-7471,-7862
-993.1686,1097.4755,123.07291,158,18.148912,-8039,-8040,8205
-993.165,5903.5825,132.78374,586,26.308786,-7676,-8137,8152
-993.15405,11918.396,454.52646,1090,28.509003,7678,7679,-7790
-993.1523,10444.18,542.0776,1000,27.224043,-8345,8346,8370
-993.1506,7608.4253,265.92722,533,37.19949,-7337,7338,-7523
-993.14166,6663.7896,479.98236,1000,17.343098,-1308,1309,1445
-993.1361,4408.583,423.86514,1011,11.339738,-1920,1921,2165
-993.116,3087.9587,285.1141,1063,7.5322375,7717,7718,-7719
-993.11194,8488.352,679.4458,1656,13.282795,7481,-7482,8352
-993.092,7715.2603,753.3677,1843,10.816692,7860,7861,-8336
-993.0899,10165.767,471.4973,1128,23.279482,-7550,7551,8150
-993.08405,5841.9497,456.1541,1000,15.077585,979,980,-5189
-993.0815,21672.014,1279.3679,3000,18.637527,2259,2260,2485
-993.06415,9103.021,596.072,1366,17.14983,461,785,-898
-993.0577,14615.894,687.8025,1079,34.8275,7352,8294,-8297
-993.04596,8860.577,729.3899,1698,13.393993,8205,-8206,8350
-993.04517,8563.944,296.04382,1000,21.979183,7457,7458,-8339
-993.03687,12805.969,541.13983,1274,25.766968,-5113,5114,5155
-993.02747,19776.955,1396.8279,3000,16.876026,553,554,4928
