idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
20,-627.3648,40,0,0,3209686,0,0,581.9835,0,0,14034937,-10939.922346741685,-4428.439996436496,15368.362346555914,-201500.75413601767,-78339.48497853507,993888.1013999683,321.18594,225.8338,   5921,5953,   2267,5646,   2836,2833,   1358,1346,   5450,5403,   2394,2517,   2921,5741,   5324,5309,   2600,2571,   5407,5401,   7649,7713,   4575,4720,   1483,1501,   8121,8137,   613,106,   7374,7386,   5527,5550,   5094,5185,   5075,1414,   7032,7052,   
21,-442.54962,40,0,0,1489928,0,0,760.6171,0,0,5575561.5,-8574.611140312469,-3361.7783198060883,11936.389465438971,-155375.21574686878,-61231.76216362037,514153.7619635983,351.09106,257.7263,   1483,1522,   4318,5059,   5145,5207,   1656,2811,   2025,2077,   7557,7499,   8286,8338,   3243,3240,   2389,2301,   6656,6640,   3334,4398,   4184,3898,   2907,5255,   2092,2168,   1437,2652,   3658,4878,   3063,3035,   7829,7908,   8242,8000,   1624,1656,   
22,-619.05334,40,0,0,4605997,0,0,693.16785,0,0,13449073,-12894.250244096349,-4147.906888925293,17042.1571268264,-228270.94151288446,-52967.59250970988,909971.7462699198,368.74194,214.79987,   1449,1419,   3650,4750,   1671,2541,   6654,4870,   3579,3601,   4656,3558,   4711,6527,   446,886,   7910,8385,   5168,973,   6077,6027,   5219,5231,   7474,8376,   5791,6366,   6987,7040,   1989,2236,   2310,2419,   6717,1046,   468,3327,   2987,5874,   
23,-462.61917,40,0,0,1973178,0,0,648.1941,0,0,6959104,-9893.20764509002,-3359.650981056471,13252.858633376736,-182812.97667696245,-44179.0413773854,671786.614176747,395.1695,282.04376,   6108,6093,   954,5066,   2059,2005,   3393,3462,   1178,3045,   4516,3614,   8202,7476,   4109,4109,   4682,6686,   7313,7320,   1165,7128,   595,616,   1308,2671,   7266,7281,   583,3443,   5332,5325,   5108,2691,   3146,3161,   4603,6416,   1687,1740,   
24,-441.90897,40,0,0,1717824,0,0,666.38574,0,0,5506884,-7814.753037866837,-2699.7013985119843,10514.45443720986,-133525.5033385161,-40796.09022214514,449935.33557599236,302.15613,232.10373,   4494,3312,   5481,5475,   3171,3185,   6123,5481,   796,321,   5623,2556,   7390,3968,   3221,4201,   2349,2421,   5266,2891,   3688,3420,   3614,3631,   5131,2282,   3474,5552,   6094,4439,   8159,8155,   6652,320,   6160,6161,   2947,4069,   1155,6746,   
25,-480.92685,40,0,0,2557598,0,0,703.2504,0,0,16437370,-11569.211670483837,-4432.40386632433,16001.615533727887,-199941.6837134468,-52743.229755120876,833996.1169975584,415.7424,232.19902,   1077,1404,   7444,8271,   1390,1381,   2687,1424,   5996,6001,   782,6226,   1813,4247,   1268,1268,   6414,6397,   8262,7432,   6804,6827,   3845,6870,   2667,5083,   2347,2414,   3044,3076,   3167,3910,   3907,3904,   2215,5985,   4580,4648,   1210,1693,   
26,-885.75635,40,0,0,2673584,0,0,612.8049,0,0,10062712,-19139.659356068172,-5074.523983370456,24214.18334032506,-347960.22583505063,-64763.69122479052,1250987.5938893599,392.83966,185.69885,   187,4868,   1424,989,   194,23,   4225,5604,   1089,1371,   1593,1126,   4245,1785,   1098,1080,   1915,6348,   3961,3962,   2420,2512,   1295,1075,   2299,2334,   4069,5233,   4614,3603,   4761,100,   1670,4084,   109,4880,   5715,1722,   8060,7979,   
27,-673.9375,40,0,0,2795181,0,0,871.9886,0,0,12039391,-15021.514230706749,-4210.60469902893,19232.118933857026,-270361.0132749954,-53271.7865676313,1169614.8594993278,401.1663,197.45474,   3795,3748,   3944,3943,   2056,2024,   2467,2369,   4702,6420,   4447,4484,   1460,5188,   6378,2014,   6273,6225,   6763,5725,   4549,6617,   3644,3793,   493,119,   6832,6819,   748,240,   5094,5187,   7999,7540,   6446,6648,   2145,2120,   290,4796,   
28,-735.0089,40,0,0,4424176,0,0,694.4266,0,0,22694032,-17705.851660273693,-5300.031064288585,23005.88272341997,-294798.23773415486,-60608.21128120921,1276694.7432178846,401.0812,332.51675,   38,169,   8183,7972,   7329,8179,   7967,7965,   1520,2654,   1396,2638,   4890,4899,   6370,2169,   7315,7418,   5732,2930,   4704,6263,   2299,2347,   3182,4152,   5828,6743,   1393,1546,   388,381,   7222,7271,   6085,2118,   28,4764,   7289,7277,   
29,-708.33624,40,0,0,2174588,0,0,583.5398,0,0,7159596,-12826.466782952333,-4390.794252228486,17217.26103080285,-229571.9300303711,-71061.37732111648,852569.8156055412,324.10022,227.10397,   1068,1350,   3261,3751,   467,4366,   2242,2981,   3542,3583,   1017,1336,   6209,6288,   2930,2944,   7157,7127,   1590,1461,   1977,6627,   872,458,   5624,5626,   7851,8139,   4286,4286,   3990,1195,   7343,7987,   386,18,   2859,5998,   2371,2384,   
30,-389.89807,40,0,0,1721460,0,0,652.4746,0,0,13061073,-7470.174891228434,-3647.1522553423033,11117.32715223902,-135949.1291647479,-51947.0925538268,545972.1142543269,348.67862,277.2751,   3508,6488,   4876,4831,   5464,5453,   4995,6737,   4634,4604,   4806,3653,   5718,5700,   7582,7553,   3694,6272,   5983,2073,   7477,8101,   1776,1778,   6872,3807,   5477,5408,   6884,5893,   7930,7955,   2973,6897,   6506,3051,   3108,1264,   6446,3507,   
31,-701.58813,40,0,0,2665050,0,0,511.4863,0,0,9163855,-12864.662064739261,-4712.38483058977,17577.046891750393,-220169.43640305471,-68692.68980584377,838340.5917098504,313.8158,278.34113,   2069,6386,   1127,1139,   6471,3517,   2725,2727,   5461,5479,   4879,409,   1579,1141,   5684,2837,   6423,6411,   529,663,   7398,7432,   1502,1456,   4236,1906,   146,77,   7639,7637,   6847,1478,   1775,1885,   8205,8363,   3788,3737,   2665,1580,   
32,-826.6587,40,0,0,2493321,0,0,556.9164,0,0,9589159,-15475.164052922413,-5060.0178806809845,20535.181929899667,-285624.1101858233,-77906.1007291008,1064808.1583908563,345.5164,244.94815,   6721,5335,   4574,4574,   6349,2902,   6451,6221,   8051,8272,   4224,4263,   1376,1047,   2222,6012,   6396,6482,   4754,112,   723,295,   2429,1603,   455,397,   1296,1393,   763,904,   3239,6492,   1510,1502,   6169,5424,   7256,7256,   3928,3955,   
33,-837.0966,40,0,0,3229602,0,0,488.9893,0,0,12664478,-12887.9479413393,-3816.0984148067046,16704.046355832492,-223019.42674505681,-41829.71405571169,990011.5415671623,266.42017,232.51045,   7196,6838,   802,6640,   1145,6848,   412,6645,   2577,2558,   1616,2351,   4903,4906,   5278,5233,   1415,1477,   7563,7613,   3561,3559,   1677,1661,   4675,4725,   5859,5857,   4259,4251,   8289,8070,   3793,3792,   2498,2346,   1504,1493,   7381,7374,   
34,-687.05475,40,0,0,1976459,0,0,701.5307,0,0,8209985,-15026.497205093947,-5063.716299817128,20090.213501125265,-262163.4330629928,-71755.23181971742,963378.2169994268,381.57574,214.86592,   2677,999,   2639,6848,   4490,4494,   297,13,   6121,4496,   2138,2087,   2792,2722,   4253,2611,   4464,4465,   3486,3493,   2054,1992,   3960,5108,   1241,1249,   709,4977,   7342,7336,   2908,6341,   5537,5542,   582,299,   7032,7009,   5889,6873,   
35,-542.36,40,0,0,1520121,0,0,548.635,0,0,5403551.5,-6820.5709575287865,-2333.2018620365106,9153.772818531083,-131206.70314949064,-28468.588762905554,383359.3943368145,241.9181,272.88968,   7161,7133,   726,321,   4964,4974,   1683,1694,   1122,1407,   6988,6986,   7653,8108,   7359,7363,   5988,6038,   6862,6862,   6462,158,   1198,1202,   7282,7282,   5672,5670,   86,299,   7364,7371,   1404,1445,   3398,4579,   1273,4526,   7380,7384,   
36,-521.64636,40,0,0,2274584,0,0,630.0351,0,0,7549409,-9740.389448459551,-3626.0866991073676,13366.476146000508,-184107.4748590773,-47274.24503574029,730259.1593002826,352.9354,303.96246,   3892,3854,   6842,3847,   3707,427,   7929,7927,   7662,8433,   4495,5014,   3583,4691,   7911,8204,   4556,4555,   3657,3493,   8278,8060,   3037,6537,   6044,2188,   1241,1238,   1860,1825,   7839,8064,   8221,8223,   3458,3370,   2363,2506,   153,3357,   
37,-574.8575,40,0,0,5321567,0,0,820.0198,0,0,12295208,-13259.117941084263,-4149.186849736059,17408.304791074577,-235130.9945378443,-52713.395709393946,921453.4841300491,409.02487,255.41913,   3934,3933,   5416,5398,   6146,6142,   7308,7328,   6507,6500,   180,608,   6235,6250,   4320,4976,   2983,6059,   4760,4860,   7456,8210,   6854,2638,   502,6693,   81,131,   3516,6478,   4028,4088,   5148,5101,   6038,2103,   59,401,   1205,3990,   
38,-543.0756,40,0,0,3830045,0,0,894.96564,0,0,19709796,-12149.786842599557,-5251.920128163641,17401.706970419193,-196669.97306414426,-79105.07994576987,905852.0642097881,362.14105,234.98604,   5661,5676,   3599,4619,   2442,2381,   6733,2328,   6815,6815,   5893,2995,   2505,1639,   7999,7685,   6975,6935,   8115,8287,   7417,7775,   7785,8332,   1414,1417,   7694,7551,   8240,7991,   6792,6791,   6720,5537,   1949,1944,   2659,1119,   2597,4239,   
39,-469.17908,40,0,0,2071486,0,0,734.183,0,0,11898055,-9961.897700526608,-3575.02174689359,13536.919443333702,-188925.80164605586,-43115.747851660184,662272.0907957269,402.6731,278.2898,   1665,2545,   2504,2523,   1576,1417,   3221,3224,   5510,6719,   4344,5060,   3176,4102,   8001,8239,   7462,8086,   3439,6286,   4172,4170,   2573,2619,   6686,4662,   4588,4594,   7465,8334,   3452,3724,   6214,4577,   4518,4381,   3920,1191,   5896,2978,   
40,-340.87476,40,0,0,1944837,0,0,832.23175,0,0,7505450.5,-7431.793325456979,-2868.890396912328,10300.683714571027,-118231.421653927,-40699.8249174256,503254.8058851672,346.8471,273.5342,   8103,7873,   4087,6725,   5527,5555,   5386,5399,   6648,552,   1617,2490,   6996,6984,   1334,1328,   3565,4673,   223,622,   5002,4998,   5141,5165,   4910,5035,   1903,1775,   7375,7389,   3751,5430,   7101,7084,   8320,7470,   1484,1484,   8288,8359,   
41,-1156.8038,40,0,0,7948956,0,0,519.904,0,0,11463224,-20343.616898730506,-5134.395864817405,25478.012771460406,-352922.404077407,-63782.22529564745,1249592.9457868412,305.08405,231.8332,   379,180,   6514,3247,   5737,5704,   6414,6400,   1274,6624,   6149,6172,   652,207,   3692,238,   6819,6834,   3402,4649,   5205,5122,   4323,6715,   7397,7394,   7867,7897,   3160,3143,   3045,1170,   5708,1638,   3866,1333,   415,53,   854,6201,   
42,-390.9215,40,0,0,2184124,0,0,775.85034,0,0,10232430,-8020.310729790819,-3095.870129507736,11116.180858962847,-135868.57507604544,-58762.56441713592,441866.75652310636,347.55975,272.98743,   1390,2672,   7729,7770,   7729,7576,   573,740,   5934,5956,   7924,7945,   2264,2399,   2807,2772,   5438,5437,   5790,5563,   5923,5915,   8,67,   5379,5458,   1088,951,   6219,504,   757,902,   5077,1443,   4768,4739,   5525,5527,   7787,7815,   
43,-373.87454,40,0,0,1419589,0,0,544.688,0,0,9547529,-6580.1968143270315,-2557.9344966190993,9138.13130868933,-123687.53738121643,-41749.45682543613,419590.6054761066,330.82632,252.48721,   5967,5931,   4327,4319,   6858,6861,   1574,1513,   6275,6326,   6673,5214,   3034,6509,   2068,6366,   7161,7164,   2007,2127,   4303,4341,   7667,8419,   6389,5255,   7347,7348,   5797,5802,   6907,6903,   7237,7232,   4738,459,   6707,5249,   2166,6017,   
44,-584.3433,40,0,0,1626153,0,0,687.4023,0,0,6411094.5,-12202.006067831708,-3579.4865676676104,15781.492635188224,-235109.3062849984,-48232.588607257785,818027.9523485999,402.3479,212.63936,   3705,4765,   2166,6019,   1779,4257,   3395,4720,   1777,4232,   7745,7756,   3365,3458,   6138,3746,   3183,4147,   6495,3240,   144,875,   6217,770,   1398,2636,   3461,6282,   2280,2522,   519,500,   4974,4959,   23,950,   3762,3261,   6128,6144,   
45,-839.5467,40,0,0,2238213,0,0,555.23047,0,0,12054275,-16936.719964457392,-5926.314666804977,22863.034637272904,-302680.7002619795,-83121.78431545375,1323570.9653892058,360.52872,215.99255,   874,110,   2106,6667,   5462,5377,   5137,5079,   6081,2181,   323,227,   5935,5975,   6179,912,   8164,7402,   4952,727,   3469,3720,   4213,3214,   5458,5453,   1845,5593,   4034,5752,   4711,4706,   7163,7162,   1713,4082,   4020,5733,   4476,184,   
46,-589.284,40,0,0,1072173,0,0,797.8274,0,0,6091364.5,-11525.753843888046,-4655.697605358278,16181.451445229795,-217662.5547820618,-77954.78345633956,796579.3876576182,369.36786,215.96066,   1469,1128,   1604,2446,   6673,5490,   5666,2589,   6376,5795,   7064,7055,   4801,3779,   4424,4403,   5076,5170,   2797,2731,   6677,5284,   7580,7990,   8424,8134,   3124,6517,   6300,6287,   1993,2008,   4622,4602,   2138,2108,   2540,2488,   4978,3334,   
47,-1467.9324,40,0,0,5620034,0,0,451.75726,0,0,12971398,-25153.036840388955,-6339.630345802064,31492.667187985477,-438885.74301055504,-66981.41900168726,1748347.5422249646,298.98227,241.64836,   7348,7349,   1305,1040,   717,203,   5500,5555,   2612,2620,   2650,1515,   3600,3608,   3068,3090,   1138,1523,   6027,6076,   3979,3982,   7531,8422,   451,844,   6913,6911,   381,168,   2625,4270,   2347,2387,   1971,2009,   4586,4696,   6018,6003,   
48,-1072.9701,40,0,0,3562470,0,0,544.5242,0,0,13461180,-21356.8112919983,-7084.491178715462,28441.302463922177,-379702.9722148492,-126324.72902460163,1639487.3994305835,353.8803,195.03676,   1393,2653,   4721,3574,   4238,2553,   6602,2110,   572,905,   2049,6380,   604,701,   2810,1640,   5788,5558,   1137,1534,   3134,3088,   4261,1873,   2357,2382,   2783,5300,   1621,1640,   7863,7885,   5722,5778,   6822,6831,   2046,6328,   3684,3718,   
49,-1016.38184,40,0,0,3756412,0,0,976.932,0,0,12198232,-19199.04546534955,-5297.912734952161,24496.958192570095,-341423.75714736525,-89360.65058895858,1441995.2223675915,335.92075,225.8765,   7131,7135,   587,345,   7623,7615,   6275,933,   1632,1641,   4440,4431,   4852,348,   3678,3720,   2655,1388,   7395,3966,   2515,2518,   7845,8356,   7133,7159,   1948,1984,   6812,6814,   6970,7006,   6568,6606,   5160,5125,   3752,3266,   2188,6050,   
50,-454.62106,40,0,0,1610886,0,0,821.0739,0,0,9326188,-11107.04868515699,-4319.413653100644,15426.462331786926,-175882.85326512132,-47834.27883919431,857220.7602172575,386.87793,247.59694,   6366,6353,   5961,1224,   5270,5358,   7166,7077,   3972,3968,   2842,5651,   7254,7257,   1073,5163,   6473,3524,   3558,3548,   1441,1476,   7207,7237,   2857,5256,   4635,4721,   5438,5437,   1736,1613,   1157,7142,   2101,2210,   1483,5185,   2461,2315,   
51,-450.45898,40,0,0,1027149,0,0,808.47687,0,0,3976560.5,-9197.347140418198,-3023.800868462294,12221.14799778967,-168193.1207250556,-40926.502682662736,582660.3481703302,373.38165,274.66547,   8170,8156,   5853,5832,   2906,6707,   755,412,   4911,5009,   7649,7656,   6882,5890,   5961,1235,   6863,1466,   5808,3674,   459,6710,   6557,2236,   8032,8032,   5978,7025,   1550,1589,   6638,6603,   7265,7257,   987,1119,   7467,7788,   1413,1440,   
52,-591.1526,40,0,0,3999871,0,0,651.13794,0,0,12072537,-13220.999696529414,-3945.704540716461,17166.704231740925,-224254.330757645,-44559.44883436595,820741.32529008,379.351,265.72244,   4110,3178,   2392,6732,   7214,7272,   2204,6627,   2467,1634,   6888,6892,   1806,1812,   1579,6849,   266,6658,   5882,2982,   2290,2315,   1365,997,   7271,7204,   3632,3767,   478,496,   2450,2442,   227,402,   4730,4722,   5906,5908,   7202,7203,   
53,-450.55664,40,0,0,2258975,0,0,760.74097,0,0,7168917.5,-10432.305832170221,-3603.7081491422186,14036.013985188225,-197796.5560148863,-71743.62904577501,680425.4627686501,439.00488,240.51599,   8422,8295,   4794,180,   5741,5751,   5488,5520,   8376,7469,   2786,5301,   4282,3526,   732,282,   353,228,   1128,3855,   4078,3007,   7648,8417,   6605,6373,   8050,8267,   5762,4034,   2400,2427,   1106,1437,   728,636,   5570,3476,   3411,3372,   
