idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39,gameState40,gameState41,gameState42,gameState43,gameState44,gameState45,gameState46,gameState47,gameState48,gameState49,gameState50,gameState51,gameState52,gameState53,gameState54,gameState55,gameState56,gameState57,gameState58,gameState59,gameState60,gameState61,gameState62,gameState63,gameState64,gameState65,gameState66,gameState67,gameState68,gameState69,gameState70,gameState71,gameState72,gameState73,gameState74,gameState75,gameState76,gameState77,gameState78,gameState79,gameState80,gameState81,gameState82,gameState83,gameState84,gameState85,gameState86,gameState87,gameState88,gameState89,gameState90,gameState91,gameState92,gameState93,gameState94,gameState95,gameState96,gameState97,gameState98,gameState99
10,-757.1595,100,0,0,11416237,0,0,1819.1919,0,0,60770412,-43534.0098206315,-14022.140218925488,57556.15001727567,-761595.0471441097,-191361.85857715763,3987625.9983907216,1005.8582,265.3775,   7032,7146,   2268,2417,   185,201,   6549,6514,   3496,3653,   7806,8393,   1229,4096,   4290,4307,   8424,8097,   3316,546,   2525,2544,   1355,1096,   1680,1602,   2192,1986,   4910,5013,   5376,5373,   4597,4605,   2282,2384,   4463,4923,   8141,8319,   3582,3550,   5049,4962,   4771,4879,   2054,1912,   7901,7916,   673,696,   2903,6338,   6338,5217,   5402,5477,   6324,6303,   2801,2718,   7710,7690,   743,873,   7709,7539,   3673,5810,   2214,1914,   8149,7360,   7461,7796,   2963,2972,   6636,2083,   6470,4310,   2202,1947,   4997,4889,   4144,4155,   5266,2890,   6291,814,   5285,6675,   7496,7757,   8430,8293,   5450,5447,   
11,-821.38153,100,0,0,11690642,0,0,1686.5979,0,0,37255740,-43890.2939957807,-14267.662808746414,58157.956809348274,-811494.0997395047,-232006.82348949913,3379209.461801857,987.96246,230.65561,   4317,4333,   6278,6302,   4378,4351,   7117,7114,   4,533,   4491,3291,   1094,992,   2061,5497,   2680,5206,   1264,4568,   5050,5057,   2166,6383,   2256,2352,   3487,5532,   5922,3053,   1792,1856,   8053,7808,   6244,638,   4293,4300,   4875,888,   1675,2514,   5562,3494,   7208,7243,   4074,1341,   5983,2075,   4455,5,   5959,5962,   7398,8281,   892,4856,   5533,3492,   5285,2852,   435,6265,   1822,1767,   1639,2541,   2866,5775,   1280,6301,   3485,3664,   5677,5678,   980,982,   177,782,   7343,8395,   746,562,   4305,3531,   6652,203,   3660,417,   2520,2429,   5750,4016,   7811,7659,   5787,6365,   8264,8266,   
12,-656.4022,100,0,0,7360170,0,0,1374.0417,0,0,21337974,-28705.686048228086,-8657.753495192468,37363.43954002176,-505179.9216171575,-110335.26213798157,1851203.8247003232,769.61945,230.12222,   3395,4592,   1743,5694,   641,625,   5019,3344,   856,18,   5230,2853,   7150,7190,   2489,2484,   8077,8087,   3809,1126,   2099,1914,   3245,3249,   4564,4540,   2517,1600,   5663,5664,   1475,1511,   687,224,   2262,2303,   5569,3635,   3358,5052,   5140,5146,   662,462,   3238,3242,   6687,4662,   988,1029,   1645,1627,   2072,6663,   4793,549,   2358,2510,   2770,2766,   2105,2192,   3692,3656,   7095,7050,   8125,8132,   6050,1947,   839,838,   1513,1539,   3393,4577,   7894,8388,   8030,8015,   6062,3033,   7455,8038,   2744,2742,   1460,1307,   5363,5363,   7817,8218,   7512,8308,   6012,1219,   2039,2158,   4865,264,   
13,-633.2038,100,0,0,6340916,0,0,1691.9674,0,0,19202088,-31237.77655639819,-8813.371297567008,40051.14786183588,-544077.5360991359,-104100.8570953645,1871098.6622427055,859.2456,287.296,   2454,2286,   8259,7431,   564,542,   7839,8204,   4771,4886,   3816,3843,   7752,7491,   7137,7121,   5991,6079,   2158,6015,   236,4787,   66,3341,   1369,1074,   7153,7057,   6551,5912,   2763,2754,   3290,4829,   8401,7896,   5256,6329,   3696,4856,   1156,3071,   4621,4639,   3606,4628,   7342,7345,   8329,7481,   2573,2581,   2036,6343,   1304,1319,   1192,1187,   7304,7300,   5133,2676,   8266,7444,   5662,2592,   7783,7316,   383,315,   205,4923,   4171,4133,   5379,5454,   2546,1720,   3456,3722,   3710,6681,   3025,6030,   691,19,   1663,1741,   5184,2674,   3611,3734,   8348,8183,   2195,2173,   3685,3668,   8147,8145,   
14,-551.7595,100,0,0,3641274,0,0,1774.6771,0,0,17403412,-29660.887815805017,-9548.507210196147,39209.395022298064,-520435.35507163365,-132829.06844631353,1838899.8271796908,943.2286,237.49457,   5831,5833,   6779,6098,   345,519,   6872,6871,   1386,1358,   1176,3130,   6175,5421,   2672,1510,   1895,1819,   815,758,   6889,6884,   4515,4410,   7157,7104,   7297,8020,   1069,987,   1472,5186,   3417,6326,   7230,7257,   1647,2503,   5654,4266,   1719,1684,   3574,3547,   3502,6442,   6320,4647,   3076,3112,   2776,1648,   2298,2333,   5035,4931,   1563,1483,   7274,7238,   4937,4901,   6136,5387,   3111,1270,   3081,3131,   3884,2672,   3495,3662,   5047,4920,   3786,3767,   7683,7656,   638,207,   6696,4580,   3781,3766,   6367,1272,   5569,3481,   3367,3454,   4504,6122,   6626,2008,   390,236,   5192,1471,   5924,1182,   
15,-588.8503,100,0,0,9092223,0,0,1756.0756,0,0,29468732,-32415.641879854586,-10282.837971519368,42698.4798575892,-573165.1531411149,-130976.592611613,2461988.8115973696,973.36304,302.251,   2466,1604,   1784,4243,   1994,6020,   4807,4828,   7290,7276,   3761,5365,   1999,2225,   5940,5933,   4667,3590,   2747,2746,   4610,3580,   2840,5687,   535,616,   6675,5243,   3533,3530,   7239,7241,   6426,6481,   7578,7745,   8278,8063,   2022,1910,   3682,4848,   1922,2033,   460,4360,   5445,5379,   3948,3939,   5474,5401,   149,457,   5583,1253,   5707,1661,   5937,5960,   8106,7663,   3277,4791,   2234,6060,   8093,7854,   6523,6550,   3467,6279,   96,426,   7812,8142,   382,68,   7639,7635,   7475,8187,   8081,8286,   5042,4317,   4638,3606,   1732,5694,   876,840,   8243,8234,   350,338,   3918,3924,   94,242,   
16,-692.3207,100,0,0,5169113,0,0,1531.0269,0,0,18543524,-31896.811949552262,-9228.345519185907,41125.15746130043,-567367.3082624987,-127687.04783268574,1957639.0020555682,819.5152,264.41867,   7199,7030,   2873,5228,   2047,6342,   2976,4564,   3489,5573,   8214,8101,   2917,5271,   6904,6905,   1567,1579,   167,904,   2771,2769,   1386,3869,   6916,6919,   7551,7625,   2375,2367,   1933,2111,   416,842,   3350,4492,   2840,2838,   4406,4950,   1189,3946,   72,307,   7637,7636,   3239,5853,   6046,2997,   902,3704,   4981,343,   7151,7055,   939,515,   6112,6112,   7436,8276,   3482,5537,   6234,6228,   4779,4427,   472,223,   7986,8215,   852,225,   5315,5308,   4459,4795,   8340,7850,   2506,2354,   6407,6411,   4440,4437,   7125,7157,   7437,7433,   4209,4679,   5812,5868,   7926,7926,   3733,3741,   4201,3218,   
17,-597.7917,100,0,0,3733856,0,0,1557.7083,0,0,16518916,-28786.814954669186,-9678.01235225763,38464.82730899798,-549409.5588370897,-125981.8299389998,2036172.3708704656,919.06525,238.59425,   7772,7764,   3947,3904,   6843,6838,   6242,589,   5146,2690,   6644,188,   3863,1304,   2230,2157,   986,5143,   2141,2096,   5855,5840,   6199,6644,   5981,1919,   701,156,   2185,2092,   258,387,   3620,3658,   3464,4579,   7620,7573,   6009,2073,   5468,5423,   1680,1724,   2474,2339,   3645,3498,   5874,2216,   1243,1246,   8220,7519,   5673,2744,   275,573,   6745,3130,   2122,2202,   1118,1059,   2901,5249,   6368,6595,   8284,8323,   5120,5205,   1492,1143,   5927,3103,   4708,4582,   5750,4012,   5268,6333,   3746,6140,   1840,1858,   2749,2728,   8009,8012,   4192,4186,   3807,6872,   7930,7929,   2701,5209,   1376,2332,   
18,-631.9628,100,0,0,4974496,0,0,1622.7892,0,0,18332882,-30083.672413349843,-9198.92584752938,39282.59826817777,-544611.7914272476,-129621.67538868795,2073751.752855593,861.77826,243.00581,   4723,4631,   2652,5085,   6937,6943,   3175,4164,   3749,3755,   5111,5203,   6842,6821,   1097,1328,   1311,1070,   221,6186,   1360,1302,   7479,8202,   2005,2001,   3498,3484,   1031,1371,   7769,7746,   544,4787,   7037,6953,   3984,1205,   61,6189,   851,460,   7065,7089,   5405,5464,   5055,152,   6981,6973,   7534,7491,   7832,7831,   5439,3750,   5985,2219,   6106,4515,   7311,7313,   6663,6336,   4304,3502,   6245,6448,   4819,91,   8372,8126,   2493,1631,   6459,6456,   5359,3267,   798,621,   5038,3318,   3303,4423,   6418,6486,   5693,5727,   1947,5991,   2689,5165,   6399,4313,   592,6289,   5262,2034,   66,793,   
19,-737.0078,100,0,0,10448393,0,0,1713.0261,0,0,46058652,-39632.02619621039,-13134.922362464295,52766.94855878891,-700107.1656105168,-166296.1395792915,3068305.2569645643,949.9318,272.25793,   8028,8023,   4003,5115,   4071,1062,   6088,6012,   4478,4505,   3810,1513,   4086,1708,   240,654,   6459,3521,   249,759,   2762,6671,   5945,5954,   6605,2962,   7713,8411,   162,3695,   1043,1356,   3042,3079,   5010,5037,   7544,7716,   1386,1357,   1534,2689,   1999,2066,   2492,5684,   3448,3692,   2977,5892,   1502,1539,   147,537,   2621,6669,   8090,8124,   7954,7947,   2579,4251,   6915,6919,   6525,6534,   8271,7432,   4929,142,   5090,1553,   8255,8255,   3582,4618,   6203,508,   4459,4362,   5823,3697,   4733,4607,   5431,5432,   4815,4876,   1227,5956,   8221,8222,   6097,6127,   1980,2087,   136,674,   4724,4607,   
