idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
57,-455.77014,20,0,0,585322,0,0,333.91367,0,0,2372230,-3782.666570167967,-1263.4294831301977,5046.096053151954,-66942.11626069593,-15487.57524330582,236577.18990252513,146.87692,263.73868,   7076,7111,   3966,3975,   2471,2308,   624,3314,   7473,7886,   1110,5162,   6140,6138,   7538,7697,   4267,4265,   7709,7708,   
58,-1074.2548,20,0,0,1416462,0,0,256.68216,0,0,3380032.8,-9025.208031684606,-2442.839853488699,11468.04788396379,-153786.13688971207,-24556.10911227848,559151.9898236572,143.15611,231.76613,   2824,5370,   3817,1327,   5325,5706,   5148,2702,   5034,4901,   5004,5011,   8334,8078,   12,606,   5424,5424,   931,559,   
59,-538.10785,20,0,0,2543267,0,0,303.5424,0,0,8135139,-5811.995190013559,-1684.2175546202016,7496.212743456314,-107316.23050230998,-24106.04236969794,455382.3878373952,199.43259,233.41446,   3701,364,   6690,6644,   3269,5348,   4017,6000,   275,4453,   3654,3652,   7974,7803,   4450,4874,   857,325,   7309,7418,   
60,-953.919,20,0,0,1020168,0,0,260.90866,0,0,4006984.5,-9069.35301388358,-2433.2151733809073,11502.56818636285,-163880.99020195054,-31128.51921432635,565957.4216914629,171.79759,250.8054,   5235,5262,   2069,6370,   6945,6943,   8259,8258,   6258,758,   8314,7465,   6239,601,   1722,1625,   813,565,   6711,4949,   
61,-378.17184,20,0,0,1082029,0,0,315.52063,0,0,4745938,-3892.6258703923127,-1545.6722581923173,5438.298130408968,-67367.68432135707,-20668.124639797566,233679.20277429293,178.14041,311.95303,   1832,1898,   3333,4965,   4841,3290,   8141,8191,   8335,7461,   3215,3216,   4831,536,   7199,7156,   8184,8349,   1263,1275,   
62,-889.9512,20,0,0,1956851,0,0,288.67896,0,0,5925175,-10236.429757644924,-3125.922547357364,13362.352310266277,-160494.99305097846,-38896.00892045519,705760.4891313942,180.34135,241.05664,   6171,5418,   1532,1539,   7101,7083,   5443,5392,   597,465,   7195,6930,   4145,4182,   3224,4689,   2117,2146,   2572,2622,   
63,-479.391,20,0,0,747686,0,0,264.36948,0,0,2467417.2,-4292.065116745616,-1585.222029672044,5877.287147805899,-76830.48418709871,-27330.266582318265,244253.49834406082,160.26685,265.4555,   2160,2027,   1889,4224,   250,775,   4167,3186,   4946,718,   1258,1276,   2781,2791,   1593,6851,   4261,4240,   7826,7791,   
64,-752.801,20,0,0,1027404,0,0,319.20987,0,0,4316426,-7364.449422352604,-1851.4843626287573,9215.933792792512,-124791.1385990763,-21583.12269846099,426157.51969155844,165.76909,275.02994,   4748,3682,   5417,5477,   1680,2540,   7293,7293,   1085,3870,   4568,4536,   5140,5094,   7679,7880,   338,568,   4994,4900,   
65,-600.1302,20,0,0,3346905,0,0,267.1263,0,0,17265890,-6084.779126843419,-2396.355128971864,8481.13424884363,-100555.07381583459,-31254.912911583382,530285.6676285946,167.55544,260.0462,   7360,7679,   7753,7733,   2185,2216,   2468,2835,   6385,2155,   3616,3631,   4624,3552,   440,3698,   5263,5261,   4137,4119,   
66,-630.4071,20,0,0,858797,0,0,514.77673,0,0,3388278,-9068.569303809567,-2345.766634362057,11414.335925479305,-149959.2147003678,-27871.156063273724,549933.5985682703,237.87679,259.30295,   6453,6470,   844,761,   7339,8194,   4833,4477,   6065,5993,   7702,7355,   1529,1588,   2825,2767,   4559,6623,   2706,5140,   
67,-603.1614,20,0,0,1976351,0,0,282.53915,0,0,6469022,-6901.014087695987,-2303.1856809215833,9204.199767925922,-115719.83710871723,-33403.00190856269,449436.49580806465,191.85551,311.60147,   3933,1193,   7338,8194,   4140,3153,   7981,7975,   4069,2869,   7098,7086,   11,343,   3773,3265,   2669,1289,   6657,714,   
68,-581.1382,20,0,0,450275,0,0,279.99823,0,0,1906971,-4539.48678798802,-1697.1948377015924,6236.681622119822,-86101.2401540443,-21996.516490184098,250631.91645116944,148.15967,232.45753,   824,596,   1207,1207,   4353,3339,   2499,2503,   6433,6459,   2159,2204,   2727,6670,   6787,861,   8413,7641,   1484,3802,   
69,-512.2116,20,0,0,525435,0,0,462.01376,0,0,2023548.2,-6021.64061232516,-1951.801965537471,7973.442581392827,-105056.36930920347,-26828.72643302422,398568.2518337423,205.10344,262.68042,   5978,4115,   2637,1572,   7440,8051,   100,4783,   2262,2338,   7001,6984,   1635,2544,   3634,5571,   7248,7325,   1548,984,   
70,-803.47504,20,0,0,1114065,0,0,248.96654,0,0,2929445.8,-7298.275603976746,-2021.703422303909,9319.979020568762,-122701.70831580483,-26504.352106790044,418169.969749436,152.71378,270.42807,   6475,3518,   6319,3702,   7237,7215,   612,44,   4358,4387,   66,4746,   644,6658,   7554,7496,   1559,1563,   1277,6624,   
71,-784.68066,20,0,0,480672,0,0,169.04692,0,0,1170870.8,-4521.527860898446,-1091.0471373330959,5612.574998061211,-84887.76675723075,-13247.176899127191,231174.4969507313,108.18129,216.17856,   3404,3454,   4761,496,   641,6641,   3771,3768,   4480,4482,   7619,7557,   1831,1780,   325,695,   2633,2650,   6303,6270,   
72,-385.10397,20,0,0,682181,0,0,382.42923,0,0,3598328.8,-4720.169872453145,-2499.457544794355,7219.627417471429,-69680.31278852263,-53842.36201503911,316662.441489262,180.93896,207.13086,   3749,5441,   2896,5260,   2714,2813,   1786,1807,   6925,6927,   6613,2109,   5779,2929,   5666,2574,   4631,3589,   4221,5953,   
73,-1151.9651,20,0,0,6291223,0,0,223.56563,0,0,20045452,-10118.875712510555,-3785.3937913187647,13904.269509922093,-187941.81163456285,-62658.231448935934,961473.4248217487,163.14888,262.5575,   6355,5264,   4288,4321,   6593,6617,   5894,6885,   7967,7965,   6111,6107,   6672,5242,   4676,4189,   784,6654,   938,187,   
74,-563.491,20,0,0,892342,0,0,364.9741,0,0,1968989.4,-6965.575306627717,-1883.531411095265,8849.106722354227,-123466.14607596862,-24629.85328587299,459744.94191234594,219.10934,219.88351,   6378,1993,   6629,2018,   436,782,   4013,1217,   3617,3679,   390,6783,   1989,6378,   7829,8393,   3914,3927,   6763,4062,   
75,-716.6877,20,0,0,645752,0,0,266.98148,0,0,2250605.2,-6492.299173145784,-2254.7540597908564,8747.053232444123,-115712.31532220508,-29902.197886339858,356316.55377314915,161.4543,142.94029,   1817,1810,   2246,2170,   5651,2410,   4473,302,   5317,5324,   2010,2178,   1727,1690,   1130,1556,   5736,4021,   5307,5301,   
76,-389.88596,20,0,0,721652,0,0,224.43124,0,0,2427123.2,-3297.5215851232574,-1486.5785743607748,4784.100157712422,-54942.391475062635,-20331.66725394932,161688.36770294822,140.91913,312.29825,   3131,3121,   4614,3575,   2143,2250,   1794,5601,   4569,4544,   8159,7753,   1512,1589,   7984,7986,   8182,8175,   3938,4176,   
