score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-18.980492,20,0,0,14227549,0,0,576093300,-3309.453222933023,-1222.1213518768532,4531.574574572761,-54585.370290964216,-15797.607664406292,1116138.0840131906,2875.8672,243.35742,   3510,2563,   2889,1475,   3443,3782,   4659,5475,   6765,2504,   441,8012,   8361,4801,   764,1723,   1739,1009,   878,6865,   
-50.96988,20,0,0,9392309,0,0,193482910,-7311.29972868228,-3791.109123201479,11102.408849544,-107498.00075638996,-83815.32479585866,2564509.114588958,2109.0496,218.26527,   7089,742,   2141,1486,   5095,2384,   2255,4983,   760,3915,   338,5326,   8281,2144,   5036,745,   4551,3659,   3584,2864,   
-36.006645,20,0,0,20569912,0,0,574056400,-4949.528465701983,-1743.1200957651035,6692.648562209992,-82408.02052161227,-31988.15612234109,1877145.038689194,2288.6892,248.02794,   1049,1159,   6580,2119,   8299,6853,   3132,7046,   809,4136,   3269,5350,   7930,2053,   7727,2768,   421,1402,   4815,1058,   
-3.7262735,20,0,0,26513076,0,0,869612400,-774.9803714315212,-315.5135837618263,1090.4939551522075,-12188.147692381724,-3836.555387733129,450305.95520721585,3270.8677,267.53452,   1526,8112,   4714,2849,   2166,3550,   8167,6217,   8200,18,   5607,6515,   5861,6450,   5815,5929,   2597,22,   1623,6678,   
-49.394104,20,0,0,17704835,0,0,661846340,-5962.789226674111,-1978.0073153566605,7940.796543139509,-114957.03862422776,-26709.871400884025,1147649.4830121761,2327.3433,269.81805,   7688,3645,   4173,5060,   646,3423,   5832,6228,   2852,2268,   324,3148,   7279,2525,   1337,1373,   4881,3730,   8389,4748,   
-15.258675,20,0,0,15385154,0,0,610467000,-3652.2251358841613,-900.1255708141725,4552.350707457273,-55356.24091886491,-8548.814183497383,593645.909222917,3627.854,319.98737,   7121,5350,   7281,791,   6964,5189,   7925,1480,   4673,1797,   170,399,   8215,6573,   1806,6317,   3939,8089,   2203,7178,   
-7.6554184,20,0,0,19242269,0,0,645830460,-1159.7136393734336,-602.1957677599513,1761.9094073671163,-21541.693598963007,-11796.187681912788,430168.4228505729,2813.9146,286.04404,   6154,1939,   3365,5932,   8129,2458,   7672,3335,   5112,4441,   1048,7302,   68,5311,   7992,2337,   4799,3381,   6532,3893,   
-124.6101,20,0,0,15771932,0,0,614645500,-12722.342525625052,-3704.428519916238,16426.771039927873,-236163.26026482275,-40148.09390063285,2663834.1715245578,1895.2177,213.52179,   3934,4352,   1554,1054,   2097,8361,   3369,706,   719,3455,   5870,5227,   1527,1210,   7029,5182,   1985,1348,   1098,4505,   
-59.460262,20,0,0,32354755,0,0,895517760,-8679.666254059997,-2848.12701633629,11527.793276843924,-153460.34945584217,-37930.10501077132,3806511.839496917,2580.8892,236.03044,   5952,4589,   4803,232,   749,1304,   330,2903,   7016,7904,   1517,557,   1557,6746,   3244,1802,   384,2310,   3834,8204,   
-139.61398,20,0,0,17128209,0,0,401626020,-19195.72044367942,-6539.210627265467,25734.931059486462,-361256.225307951,-118201.95574042137,3526775.6984791383,2587.5361,275.79794,   7524,6965,   2616,1657,   7007,4257,   5775,7293,   6718,2809,   352,3451,   2283,2026,   6376,7781,   7984,1321,   305,793,   
-3.6119213,20,0,0,19040647,0,0,979027140,-740.3979213016081,-321.7766595520684,1062.1745804632183,-12169.265426480644,-6108.47336353378,469197.68318576715,3369.1946,290.09296,   8031,466,   2125,1251,   1938,5312,   3669,3217,   6402,5227,   4797,8111,   5949,1330,   5417,7423,   1973,3146,   1661,4928,   
-19.508352,20,0,0,17679308,0,0,617318660,-3744.3497153451412,-1475.233525785802,5219.583237046432,-56415.48762565493,-15303.09073360823,1430489.4897988907,2891.8633,304.43198,   3965,1472,   4621,4207,   7552,6502,   6710,7967,   369,3898,   2253,7499,   2005,3041,   172,7058,   4840,1364,   8154,1694,   
-50.94241,20,0,0,24451254,0,0,573479900,-6901.9079059752075,-2087.186791129311,8989.094698150995,-114403.19353401636,-24080.470921335553,2488196.891706869,2245.7358,216.99113,   587,2557,   891,1491,   6448,676,   5937,953,   5044,7389,   5807,4838,   8096,3812,   5264,6558,   4281,6354,   2135,3871,   
-12.782955,20,0,0,14848055,0,0,567486300,-1693.169712548963,-705.2300961357059,2398.3998076915377,-29490.847801241795,-9840.757155966481,542576.2123559922,2307.0447,230.02142,   7037,4138,   2847,2503,   2973,5734,   6105,2908,   1157,6794,   2583,608,   3427,8402,   4341,1407,   581,3130,   6194,6875,   
-14.768882,20,0,0,13845840,0,0,508409600,-2596.6607826404634,-861.2897347676034,3457.950517483993,-45316.728881116265,-11276.075243610565,899915.8724976188,3068.3928,290.9529,   564,5757,   2922,1416,   6527,5850,   7838,6628,   6213,2049,   2777,6921,   7665,4282,   3092,4884,   8146,6823,   6953,713,   
-14.173448,20,0,0,20182749,0,0,620770430,-1528.5746664776993,-530.0053075389582,2058.579974394529,-28528.239832708907,-7119.551316976561,528996.4640804548,2012.7947,235.35583,   3007,3029,   8231,6686,   4806,5199,   1411,8130,   7907,3857,   5977,1150,   159,3695,   3306,1280,   1215,1431,   4412,5558,   
