score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-126.63529,20,0,0,12054722,0,0,152616060,-11776.300032698196,-3922.039451934584,15698.339488020818,-204642.04749444046,-45439.42807145819,2060304.9939624963,1615.9954,183.65375,   1414,1033,   5719,146,   3730,1796,   1147,3384,   586,5042,   3844,5148,   3860,3297,   2949,2882,   2210,4230,   3115,3454,   
-18.35391,20,0,0,10658445,0,0,202151500,-1874.8719186062076,-681.4007007401087,2556.272619504828,-34140.8932684127,-8999.472450100984,390214.07167378603,1860.1428,236.91985,   4509,1492,   1081,2993,   6617,2996,   736,6181,   5020,6839,   8090,5324,   5146,6878,   5686,3690,   4508,3348,   7661,1869,   
-70.88049,20,0,0,13078918,0,0,437795700,-10319.436737764321,-2993.4136893841955,13312.850427413001,-162689.86335855882,-29157.39370393312,2391088.558152732,2295.2698,283.81442,   2277,1289,   3152,1571,   4082,2862,   1306,7181,   649,5650,   7208,7537,   1223,4205,   3223,8358,   8387,2725,   1964,733,   
-4.6839066,20,0,0,11303275,0,0,348980320,-1184.225411169257,-625.7698025304488,1809.9952136363681,-16258.138228212494,-9770.772912630888,474820.4212141157,3471.0637,334.67032,   1060,3402,   6799,2183,   5388,6956,   2,5417,   6046,7694,   6810,7297,   5005,1246,   1177,3219,   6775,7946,   7347,3755,   
-18.097961,20,0,0,24150816,0,0,866894000,-3404.920626929357,-1385.2325058252306,4790.153130107763,-52398.38706107343,-17383.792511791755,1428744.666789975,2895.2646,253.33441,   1690,1990,   5532,7805,   8066,552,   4101,941,   3654,5763,   3738,1782,   1384,6927,   808,7311,   2925,969,   4618,5562,   
-29.146107,20,0,0,21286468,0,0,421721920,-4441.198572744837,-1354.8407453106463,5796.039315044179,-73587.34803535027,-13508.241258972215,1588066.296439917,2524.7747,284.44495,   2859,4324,   1134,1390,   7275,8347,   2531,8413,   3028,4,   1583,441,   3814,6644,   7479,7505,   6305,7430,   2553,4835,   
-42.614975,20,0,0,19816905,0,0,562668030,-5879.572474561049,-2706.125413884162,8585.69789308522,-119876.33474970542,-50099.50306115248,1635366.6416788877,2813.0098,258.19196,   2855,7496,   1763,283,   3956,5028,   5913,6513,   437,2301,   294,5805,   3327,1785,   895,5801,   856,4141,   529,8155,   
-10.6322,20,0,0,14407956,0,0,334801800,-1604.9159210245236,-600.0878785616308,2205.0037995638013,-28389.65621388693,-8142.205530078768,665567.2035655645,2670.1582,274.91888,   6456,4123,   6349,3650,   4180,3297,   6403,3175,   7884,1739,   1005,3931,   6852,8219,   2706,3798,   2561,851,   5870,2247,   
-48.573788,20,0,0,12976700,0,0,425964600,-8572.479145993926,-2588.8694735406402,11161.348618570059,-136353.75070587615,-32634.50635297215,2759599.608231492,2807.1467,256.34747,   2433,4454,   7976,726,   8145,4213,   5549,2029,   5749,1677,   6649,2164,   6900,2834,   6814,7167,   1147,6549,   4538,658,   
-29.585981,20,0,0,19814886,0,0,479907360,-5394.61058308045,-1931.7301366069926,7326.340721778441,-87312.85852523004,-21926.13522867548,1711147.3002795705,2951.1565,249.62898,   7060,2738,   7065,7133,   1296,4799,   7389,3543,   7514,5533,   3240,4,   6706,6718,   5721,2002,   4583,5622,   3940,8403,   
-24.298416,20,0,0,22745122,0,0,601164800,-3507.7741434938216,-2020.629010035675,5528.403157229362,-72745.25322518918,-37730.736164547016,1028022.1565080889,2993.827,265.05823,   6183,4374,   5862,6206,   3526,7276,   5466,4018,   1404,3975,   2651,4447,   4749,5212,   3623,8131,   5825,842,   7866,3346,   
-36.18494,20,0,0,10855823,0,0,180556370,-3928.029640875593,-1439.3369366912918,5367.366578446096,-71031.12463345415,-25905.813216562303,1581110.4823923297,1963.0023,178.85004,   5260,2005,   2950,216,   6873,6644,   3894,182,   5548,4811,   2584,3961,   2608,4571,   2910,2685,   5311,858,   3607,2455,   
-8.990615,20,0,0,11946720,0,0,458655970,-1219.0959863542787,-410.99012868416713,1630.0861147322164,-21386.03361600472,-5180.442422698995,484292.5753214757,2378.7063,279.27725,   7768,3370,   2139,3539,   2881,7228,   3691,1494,   3095,6026,   4613,3740,   6192,594,   3142,4177,   1424,5646,   7769,5317,   
-21.354115,20,0,0,22701620,0,0,786180740,-3578.0576492181567,-1159.2970551378808,4737.354703509047,-54032.33604350723,-12476.358068451867,2079571.3421370606,2530.301,264.706,   3381,5284,   6906,5029,   1391,7125,   1838,178,   2301,937,   2819,4966,   5671,5410,   4013,1889,   8302,7847,   5770,8080,   
-20.79937,20,0,0,17527472,0,0,661090700,-3860.2247385914984,-1289.8685007117397,5150.093237776498,-63285.951031380326,-14767.69024510167,1053348.524227272,3042.686,284.0751,   2953,2400,   5523,7958,   198,7279,   6204,2014,   1428,7169,   1261,8101,   1525,6725,   7509,2484,   4900,5546,   2147,4191,   
-30.251486,20,0,0,16554902,0,0,697669500,-4359.955109996371,-1438.8278618522102,5798.782972682051,-74774.39367153375,-15762.711765417647,821455.3280868676,2471.7593,299.1198,   5390,3513,   7628,2157,   3206,8083,   6505,782,   5017,1253,   4311,2012,   8312,8124,   2364,981,   8197,7383,   4830,2547,   
-39.119408,20,0,0,21237708,0,0,561927400,-5398.602312021718,-1636.1970470291617,7034.79936079801,-98245.41586786439,-20872.030715034783,1271546.7870543094,2511.4238,269.88687,   921,8260,   7185,3568,   8111,3153,   3441,7381,   6336,1528,   5425,2756,   5699,1578,   2690,7875,   3207,3365,   4751,551,   
-28.03385,20,0,0,22564385,0,0,725677800,-3671.027385292619,-2182.149607550682,5853.1769938281195,-64323.796266666955,-70388.97541668908,1459955.0888687903,2294.5046,240.24005,   774,5422,   5432,175,   2858,7684,   8225,1836,   4361,6528,   2723,5952,   715,8036,   3270,5565,   4763,4060,   2482,52,   
-27.295382,20,0,0,4983504,0,0,234571310,-3344.7930375628384,-1181.1073171199696,4525.900356691098,-59081.839251431644,-27136.39592341562,404287.2479859968,2164.5361,240.12524,   4641,7560,   2882,3488,   4263,1554,   4749,6734,   5434,2924,   6209,4831,   2632,4279,   1773,3935,   2827,7010,   709,426,   
-52.14628,20,0,0,10203285,0,0,390904770,-6225.159889200664,-1954.3992691330811,8179.5591584558415,-121606.25288577091,-21754.663556772248,1406404.167965718,2332.0217,265.09686,   3364,1605,   3019,8243,   7241,7908,   2041,6099,   6743,5560,   3111,7583,   882,4698,   4345,1649,   2539,1943,   4347,1303,   
-35.93947,20,0,0,11275129,0,0,268125100,-4195.297215337982,-1472.343201299425,5667.640416610389,-74942.65339343333,-21369.00742605808,1676286.2746986581,2085.2466,192.57426,   2935,1491,   4837,1436,   319,6327,   3320,4871,   6262,7771,   2738,6189,   3350,2055,   5124,3036,   4540,3074,   4683,4790,   
-11.594275,20,0,0,25401797,0,0,991211500,-2892.917535293914,-817.3528277940317,3710.270362053959,-44757.37851370857,-8072.519050204984,1450044.886036128,3860.2998,334.3539,   7948,7085,   8426,8310,   8248,7062,   3949,6369,   8370,123,   1395,883,   2662,7842,   5926,1873,   5203,1583,   7924,913,   
-3.4689584,20,0,0,17139185,0,0,713708800,-596.0816629226774,-261.7098655085402,857.7915289383495,-10435.899184851962,-5042.833261241293,197503.32864230266,3008.367,283.88925,   4588,5606,   8272,7408,   2822,5358,   4232,7263,   8010,1308,   5545,7901,   5696,7992,   1791,4286,   1500,4963,   1623,1693,   
-14.867966,20,0,0,7719424,0,0,290273220,-1803.5814747377956,-1308.4158229858951,3111.997295642926,-33177.395965089905,-46491.83093165651,578504.3706929513,2231.4683,234.326,   2378,5387,   4937,6139,   6376,1854,   3526,3944,   4565,3250,   6269,2956,   3586,3770,   202,2342,   7249,1018,   5487,2890,   
-144.43698,20,0,0,12953236,0,0,311123200,-19213.133331957393,-5147.982662696279,24361.115994844804,-325091.9041836071,-50664.001387836994,2748352.4317537337,2250.7527,255.04402,   2829,5121,   6794,7061,   3014,1930,   3623,3105,   6050,1640,   372,239,   8396,6231,   6970,7636,   668,2133,   1032,967,   
-4.6218753,20,0,0,14168491,0,0,515702780,-959.0022164265345,-453.5588137510084,1412.5610302693945,-12960.543820417237,-6208.8555588249965,501346.2616526467,2804.1743,303.552,   1832,288,   2698,4760,   3475,2588,   4314,1925,   7790,7884,   5472,482,   7911,7169,   7299,5692,   7029,6311,   3124,4446,   
-140.27094,20,0,0,15285611,0,0,243466400,-12481.30424237262,-3966.2418524845657,16447.546096134833,-201401.12974649185,-47327.49144426396,3378128.124393438,1435.8008,157.2786,   6666,420,   6329,2924,   2878,6030,   2996,5791,   5235,1001,   1673,5116,   8422,4520,   1057,2541,   2423,2033,   3585,426,   
-5.173411,20,0,0,9531279,0,0,284931260,-1026.381832953704,-670.3135088955344,1696.6953419935367,-15102.999140128251,-21287.013181308666,505312.2590680994,2919.3503,260.96182,   6051,1698,   3751,6602,   4603,8325,   763,1226,   7367,1277,   607,2793,   7444,5021,   2736,1411,   2394,8209,   1882,5881,   
-133.27892,20,0,0,9788946,0,0,192280960,-12894.1203933499,-4475.928070236191,17370.04847734851,-277118.7876277177,-61562.90634912472,2068899.801454256,2079.2395,263.92316,   8027,6959,   5125,6788,   6211,356,   496,3391,   6111,4758,   3269,4995,   2725,2698,   6831,4968,   5104,8163,   6756,2988,   
-16.47691,20,0,0,32503462,0,0,1.1518281E+09,-3166.0792975998165,-1921.8596184523797,5087.938917234248,-50215.50467793453,-38391.58889575524,1839922.1607383024,3047.629,294.5095,   5266,1769,   6859,3957,   394,7316,   6107,3400,   1783,8082,   146,2650,   151,6140,   834,7527,   5008,5399,   390,4247,   
-54.435726,20,0,0,18534615,0,0,556905100,-9098.295836416873,-2509.906578176059,11608.202409481684,-152745.5697635459,-26115.06996493115,2566398.6594872344,2805.98,254.89827,   7829,5807,   3551,2608,   6444,4048,   67,4746,   6626,6203,   4742,2667,   1452,7329,   614,6257,   100,1167,   6394,7330,   
-55.383125,20,0,0,17708019,0,0,391630940,-9250.840883457313,-3152.1284166256546,12402.969303032922,-132561.4990383123,-29341.598384623423,2547273.400654629,2393.536,304.70926,   2684,5532,   1607,6464,   4612,618,   4843,5021,   1863,7739,   8396,8141,   7772,2509,   3595,7894,   6654,4250,   5949,4781,   
-8.829228,20,0,0,11805545,0,0,417746200,-1097.965571839082,-474.8465716121429,1572.8121430340868,-19570.32145787497,-8478.274202217252,358344.5269458351,2216.5383,250.08298,   7249,1361,   5209,4015,   3339,5915,   1197,1258,   5526,3013,   7427,3840,   7440,1496,   1562,2296,   4200,5522,   6432,5825,   
-21.123344,20,0,0,17479035,0,0,641781900,-3785.133646381462,-1216.3943821032897,5001.528028333202,-65015.02070651546,-12769.410067200763,1610409.890754136,3077.8752,265.3182,   7640,3482,   2883,7323,   6243,5037,   3330,7379,   3734,1156,   8039,4285,   3654,1612,   81,1323,   323,6028,   3125,7133,   
-59.299583,20,0,0,15248385,0,0,428518050,-8282.352172406148,-1659.5728033979767,9941.924971644683,-145979.1241335317,-17004.868291281582,2325656.7928401176,2461.7227,288.90448,   7857,3585,   7931,7285,   312,4555,   701,6276,   946,1298,   3694,1131,   6254,123,   5576,3766,   6913,6321,   6208,6738,   
-58.562836,20,0,0,17287283,0,0,437705760,-5668.966509922359,-2010.212144618281,7679.178656841933,-114411.27377323524,-29568.19524723088,1295324.152243697,1953.6498,229.903,   2584,2254,   5959,4370,   3410,3141,   186,5827,   1414,238,   1973,6607,   2397,7735,   6404,4055,   3987,4033,   7010,1687,   
-8.708578,20,0,0,5172270,0,0,164405950,-1131.1935660424874,-429.84069361588286,1561.0342612980874,-22160.11468921861,-5541.565210909784,229107.91916894898,2544.6306,282.08096,   4335,5490,   6432,2436,   5897,6907,   6466,3531,   4471,4750,   2846,2437,   8255,4823,   4548,5603,   6061,3561,   3875,5606,   
-42.3869,20,0,0,14223521,0,0,363991400,-6586.608065110897,-1906.3164307567533,8492.92449690647,-112658.8585086481,-20880.05320310165,1298665.6812302377,2657.8696,272.96274,   4369,3309,   4861,708,   7760,5522,   7170,6954,   2154,1521,   8215,2880,   7747,4520,   2402,5530,   4257,3523,   6908,4938,   
-145.6301,20,0,0,16029529,0,0,409754370,-15457.01395431726,-5275.21545215229,20732.229408322564,-239032.45539836827,-54672.3347105881,5132452.753749271,1641.3671,201.89003,   5111,5090,   1355,5099,   5828,7972,   6788,6009,   3187,801,   6430,425,   157,1404,   5754,1026,   628,5724,   3111,374,   
-9.336713,20,0,0,20769032,0,0,843394560,-1649.1885085532144,-554.5267836479117,2203.715292077352,-28077.823343248616,-7229.115095579825,382733.8876701614,3007.2495,292.39627,   8172,7948,   1377,2950,   4971,8401,   3126,3735,   2420,7454,   1345,2538,   5088,7372,   495,7715,   1953,8198,   3315,8224,   
-36.988144,20,0,0,13255683,0,0,508234050,-5401.615981395746,-2458.501366250415,7860.117349646555,-88729.95478175292,-32650.647005812207,1187953.0809995278,2398.8755,261.71133,   7170,1160,   3767,1353,   3527,7789,   2722,6343,   7201,1375,   4901,6969,   411,6533,   5202,5598,   3713,6840,   128,5862,   
-50.333256,20,0,0,25316841,0,0,816071000,-7805.610050948244,-3012.302562376676,10817.91262288985,-123564.49482165319,-31181.363819632123,1533022.5071602173,2454.9275,271.13583,   4845,3052,   3588,4168,   7891,3891,   3773,1221,   908,6475,   7509,866,   2408,3323,   1640,7011,   4180,23,   7859,5617,   
-9.580814,20,0,0,11963341,0,0,320777340,-1351.7823528784845,-580.492526777818,1932.2748793187313,-23196.84566829995,-10510.024889258279,632832.5467936078,2421.1768,259.85825,   5679,5219,   4969,1045,   2552,2812,   2126,6990,   2170,3332,   4001,3548,   8069,5888,   3378,4117,   6008,8035,   1898,8071,   
-25.272943,20,0,0,17054639,0,0,776740200,-3294.5406233931035,-1921.8597936287554,5216.4004172806635,-55858.99908012992,-58456.776844689026,972644.3793099311,2210.2292,209.4426,   4016,1500,   5434,726,   2302,4035,   4560,5524,   4893,6626,   1418,3689,   7417,2947,   183,8062,   6519,2543,   1615,5078,   
-28.034641,20,0,0,15978617,0,0,427868580,-5555.437131862194,-2385.036976299658,7940.474108460912,-75117.61780491594,-25291.484132299745,975183.6019013511,2679.457,271.66144,   1764,5218,   7487,6011,   2473,3960,   1232,4955,   8380,5958,   1003,4581,   6561,8224,   1600,4178,   8220,4242,   7178,6953,   
-13.914594,20,0,0,15411160,0,0,520695680,-2045.6648701208048,-663.0390309233919,2708.7039008984584,-33656.53430916187,-10406.103258874047,901355.2029102594,2418.794,236.77129,   6687,5038,   2096,3979,   1913,312,   4567,5122,   5705,3751,   6034,3464,   6419,5255,   6306,7233,   2449,7858,   6689,6777,   
-1.571308,20,0,0,14494005,0,0,455261660,-248.42189075555206,-128.44529718204237,376.8671880907449,-3869.979713287183,-1640.3882536354151,128063.3581541896,2462.9033,266.27988,   2803,8041,   5579,7371,   5622,5273,   5564,7628,   1346,4440,   8277,2276,   3800,3098,   6827,5162,   3122,3507,   4097,2161,   
-17.634981,20,0,0,14263374,0,0,448874370,-3345.6158458312125,-997.0689706141744,4342.6848157382055,-56568.19467757429,-12482.816961246483,1444611.4835747061,3207.7263,280.52362,   7829,4545,   7686,4629,   8360,5974,   6598,1305,   1917,2803,   1728,362,   5989,401,   4149,7082,   7895,3161,   6792,5076,   
-25.044025,20,0,0,11282818,0,0,455003780,-4350.100545339914,-985.3805139096048,5335.481052277234,-66304.55973483458,-10472.556680193487,228599.84390392026,2647.5203,286.79584,   3183,5374,   3775,1264,   3909,3757,   8100,3320,   6864,1144,   4111,7378,   3760,4527,   7384,6693,   354,949,   7446,8083,   
-24.310434,20,0,0,19291019,0,0,565761100,-3056.2429341372986,-1102.6956220696902,4158.938555193247,-55365.8658751942,-12555.49311280831,803408.1204234156,2277.453,302.774,   7111,4258,   5710,6979,   2712,7915,   4723,3399,   7384,8181,   5702,8396,   5150,7457,   7413,2455,   769,6422,   719,4603,   
-8.742162,20,0,0,12857686,0,0,376218530,-1259.5439612092503,-475.88440048612284,1735.4283613737261,-23280.089136676394,-5850.724357325424,452588.8016329112,2662.9673,249.18307,   6310,3277,   2877,773,   7128,2786,   5037,1461,   1453,5892,   6728,6945,   4151,7144,   6400,7360,   8099,5232,   6988,4429,   
-11.31278,20,0,0,17521135,0,0,543591940,-1617.00947525757,-617.9988900188614,2235.0083651982472,-29324.920213633246,-8565.110376427432,808865.813701456,2592.1938,266.53214,   7469,4700,   4371,7119,   3877,4150,   2228,4739,   5549,4929,   5923,2368,   230,2843,   1773,3833,   1381,4937,   8287,8361,   
-34.084137,20,0,0,18922283,0,0,446585760,-6096.9064508009105,-2025.4420365449043,8122.348486835592,-94205.94334182258,-31272.450739794305,2214653.538412547,2763.9236,232.22093,   2878,3261,   1946,1492,   1453,7193,   4245,6441,   1056,53,   2791,3973,   7870,4725,   5569,1609,   7342,4194,   5332,2977,   
-31.673653,20,0,0,8584089,0,0,291518530,-3894.8815737378777,-893.5648307669844,4788.4464065699485,-65659.31656102739,-11526.087830701852,331759.1427348494,2072.9949,258.3529,   558,298,   4347,4959,   8404,4359,   6715,1307,   5371,2566,   5979,3162,   5381,7062,   1551,4207,   2754,2879,   5666,5120,   
-38.622158,20,0,0,17845917,0,0,347842530,-6604.67702559767,-2797.172862836258,9401.849889160907,-115472.04577886194,-61536.44870865891,2758986.1119487155,2989.7876,280.45618,   8341,4222,   3682,5496,   2137,1950,   2933,3940,   5709,163,   4927,5622,   8041,5309,   7803,2580,   7350,5422,   1523,5529,   
