score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-26.46325,20,0,0,15365375,0,0,298341950,-3960.2800609216047,-1532.998847846278,5493.278905634269,-74906.53224802915,-23575.195609428905,1439581.7159129367,2830.5872,248.44022,   7430,3238,   5409,7768,   3173,5242,   5999,8336,   4591,2328,   4839,1763,   5701,5979,   3512,6353,   4801,3736,   1493,126,   
-4.7971478,20,0,0,14705101,0,0,954878900,-1046.5262962367513,-422.0368906378244,1468.5631867604347,-17187.332257448175,-5954.802309242278,411602.8346397666,3582.823,300.2,   3135,7892,   3204,6744,   7513,6960,   3362,2926,   364,8107,   7321,3608,   3931,6700,   5636,4989,   5275,4738,   716,6614,   
-69.030205,20,0,0,13985661,0,0,266547410,-6906.702978985041,-1878.908916867871,8785.611898493255,-130773.07819384521,-22256.359861555033,1380386.34112022,1894.4326,245.70631,   3797,1002,   6317,667,   8052,4728,   322,5943,   1225,1917,   5302,5242,   2515,477,   8403,7974,   34,7100,   254,4648,   
-33.620564,20,0,0,18150366,0,0,546267970,-6177.83059315958,-1617.3947546789739,7795.2253482332135,-99917.50495950237,-16045.239171528756,2510334.7957990062,2971.9165,240.30038,   1880,3072,   7971,4920,   3442,1231,   6267,7436,   343,6958,   1077,62,   3019,3314,   4764,2133,   1575,2537,   7127,2784,   
-44.283394,20,0,0,5097520,0,0,93395750,-3483.8725901540947,-897.9983133430048,4381.870901928783,-63252.73984326365,-10442.612506769476,442446.2003908217,1428.3624,179.4382,   6638,5854,   1701,6883,   2805,2079,   1092,3454,   6733,6098,   4955,6610,   4483,4504,   4734,724,   1467,1397,   5660,6820,   
-60.47125,20,0,0,9889744,0,0,268046080,-8054.484383830104,-2454.102673691628,10508.587058633491,-131067.06238765869,-28727.730954714178,2389282.8988075578,2167.4277,270.1396,   6896,1321,   5600,2702,   839,5239,   2222,7637,   4149,6270,   6399,5933,   8409,5906,   6445,4461,   1371,1087,   2115,1363,   
-98.92003,20,0,0,18710475,0,0,383039360,-11945.03381440913,-3824.5089006802327,15769.542720798781,-208011.28748497582,-68331.10879783295,1987720.4061622974,2102.8228,191.3215,   139,2813,   702,2680,   2003,2902,   4014,6951,   7016,4039,   665,177,   5312,306,   4324,5317,   254,7434,   6043,6001,   
-21.984715,20,0,0,18695832,0,0,820096260,-3489.1741497360717,-1263.9403571944936,4753.114507425626,-60341.520210485745,-17106.557362422962,1405034.6308606989,2744.7034,295.18277,   8292,1891,   7740,463,   8135,7458,   6637,7013,   6494,272,   7789,379,   7718,4297,   6681,4083,   618,2919,   699,6373,   
-55.851444,20,0,0,13343445,0,0,772842300,-5816.165669084537,-1733.3786329686234,7549.544305321403,-100772.50137902008,-19165.79661751994,897501.156466833,1804.2953,211.30426,   1224,3706,   620,109,   620,8102,   5604,6221,   1582,1128,   4206,2373,   3479,4549,   1506,6684,   3508,239,   2981,2980,   
-72.007744,20,0,0,21907652,0,0,484847460,-10398.676504626888,-3279.9468239599523,13678.623326095387,-177385.26783387508,-44360.143313566114,3857280.8802572885,2463.4192,218.8341,   4700,5437,   457,6743,   4686,285,   895,1015,   2061,240,   4698,5771,   6734,8106,   4776,4585,   1270,7631,   3294,1913,   
-9.034314,20,0,0,8397454,0,0,212053570,-1282.614131783521,-761.4108469646737,2044.0249776536402,-19420.574330388597,-22121.206680479452,366741.8820558354,2149.6458,253.0152,   6838,6971,   5431,5365,   4502,5415,   5336,3168,   2791,8433,   574,378,   8373,6154,   1672,4223,   3249,2312,   3859,5318,   
-33.987328,20,0,0,14771450,0,0,343975000,-4912.776386511879,-1875.93256077336,6788.708948387864,-79816.06861501432,-19074.157252705914,1174824.5989062462,2348.4067,248.56682,   5325,8040,   6040,1341,   4866,6870,   4074,3809,   8209,5356,   5413,4313,   5381,1067,   4578,6164,   5,3528,   2240,7706,   
-102.882866,20,0,0,23801396,0,0,510795070,-13562.819300750933,-4436.872152725434,17999.691451319788,-258217.28348109164,-54634.79985036427,2695277.5030416218,2509.818,250.71738,   3385,6163,   6660,2063,   8101,4319,   5833,580,   6433,552,   1336,7394,   3772,6412,   5023,7233,   930,4090,   498,6068,   
-20.522861,20,0,0,21335569,0,0,744573060,-3319.054762397807,-1163.6573222071493,4482.712083085061,-58011.14410143,-11807.0126337583,1258351.5618892885,2826.6597,260.33,   1341,1527,   3395,5871,   3020,4697,   3433,7305,   1575,3943,   4218,8157,   71,4588,   1932,7598,   1380,3976,   1675,547,   
-10.632147,20,0,0,21712497,0,0,749998850,-2003.7219087061194,-811.5472170612986,2815.2691258885097,-33822.657464967495,-12864.445178382874,1101754.8392155739,3181.169,241.20822,   1036,3493,   5811,7656,   4019,6455,   541,7405,   4480,5781,   5234,4351,   3029,4608,   6365,1858,   2767,788,   7479,3404,   
-4.9744415,20,0,0,8779425,0,0,199858320,-656.1836729544987,-339.7497644333948,995.9334378396519,-10526.739511979993,-4607.620086925518,293315.2502108665,2116.165,311.6251,   885,6963,   7440,2490,   4770,1615,   7322,7619,   4479,5861,   5852,5389,   2414,8387,   5031,6283,   4152,4175,   1851,5001,   
