score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.002960711,11304.620280572319,146.14180932718565,-72,293.68494,+835,+989,-1873,-3080,-3858,+4540,+7098,-7129,-7244,-7662,
-0.028485809,13759.233610022724,1288.649879928701,3025,269.15942,+2313,+2493,+3064,-3280,-5907,-6497,+6536,+7379,-7613,+8037,
-0.01848266,12419.976741172532,742.3216403992101,2360,238.96309,+211,+715,-2147,+2504,-2531,+2930,+3227,+3340,-6242,-7221,
-0.0134595595,-25242.21213509098,-1112.610550618258,-4000,187.54114,-989,-1013,+1116,-1913,+2700,-3909,-4049,+4744,-5484,-5900,
-0.0019793783,-5949.494259266398,-450.1803803820447,-2000,300.57388,+1146,-3211,-3640,+4161,-4379,-4713,+5157,+7131,-7822,-7997,
-0.0017491253,8356.747150511466,72.60052295862864,284,246.95738,-119,+763,+887,-2038,+4641,-5406,+5998,+6104,-7380,-8312,
-0.011673406,-22870.491255028235,-1193.1325369758824,-2815,195.91963,-1157,+1713,+3994,-5129,-5505,-6003,-6085,-6366,-7031,+8291,
-0.0032108522,-4251.0840078014235,166.32277033739678,-24,308.2014,+1949,-2628,+2761,-2879,+5447,-5939,-7295,+7545,-7659,-7669,
-0.027834183,13554.249257052268,1107.1854943559372,2911,236.67104,-225,+493,+894,+2078,-4266,+5031,+6324,-6649,-7180,+7612,
0.0009761327,1909.9442228982234,-146.51188815385072,429,195.66441,-789,-1126,+1259,+2010,+2036,-3022,-6516,-6538,+6839,+7507,
-0.0075065624,-13197.731532026368,-1212.2369213505158,-3321,175.81592,-165,-656,-1751,-2646,-3000,-3216,+4050,+5408,-6321,+6570,
-0.0005532961,-1792.308279847726,-26.595565526047288,350,323.93292,-652,-731,+1776,-2616,+2767,-3177,+4563,+6214,-6911,+7243,
-0.005822435,10652.164048773488,288.3925172776282,1073,294.70163,+689,-1220,-1960,+3807,-5280,+5473,+5659,+7260,-7345,-8042,
-0.0053089634,-17546.51353211808,-1315.2021910405635,-3066,330.50732,-726,-820,-918,-1970,+2516,+3649,-6418,-7297,-7445,+7858,
-0.0034246868,-9279.57737496214,-250.1822808707565,0,270.96133,-1245,-1382,+2341,+3132,+3483,+4376,-5806,-6282,-6713,+7271,
-0.0012827497,-3301.847966397479,-618.4498685122823,-2409,257.4039,-595,+1289,-1780,-2145,-2276,-2303,-6178,+6461,-6641,+7711,
0.002762262,7470.3678551442845,-192.89904858706856,-712,270.44385,-675,+1746,-2448,+2512,-3195,-3358,+3794,-5519,+8184,-8267,
-0.0012338767,-3817.8838532206078,-683.1263300607226,-1252,309.4218,-185,-249,+578,-2939,+3375,-4127,+6323,-7195,+7351,-7900,
-0.0011623598,-2717.7070109596048,54.54206300228974,0,279.18634,+147,+1538,+3212,+3945,-4116,-5641,+6796,-6824,-6981,-7874,
-0.0041219397,-12415.310999740375,-580.7911822441332,-1192,301.20068,+370,-804,-1118,-1171,+1868,-2632,+3520,-5606,-8209,-8265,
-0.0051427195,-7850.683041593573,-708.4116954980419,-1457,152.65627,-288,-1131,+1387,+1552,-2092,-4567,+4821,+5890,-6212,-6612,
-0.0048726834,-13341.290975271919,-1169.8429112761216,-2986,273.7976,-207,-1358,-3782,-5163,+6062,-6150,-6784,+6841,-7418,+7736,
-0.004349892,-10726.007013616869,-779.7773820503329,-1552,246.58101,-1286,-3010,-3047,+3651,+5154,-5990,-6232,-7095,+8112,+8315,
-0.008328887,-18581.5507478441,-1046.6018453572353,-1721,223.09766,-905,-1074,-1249,-2002,+2083,-3109,+3678,+4354,-6205,+7461,
-0.0121427085,10642.739737096625,579.1335359162462,2268,283.76993,-1088,-2135,+3176,+3462,+4888,+5022,-5940,+6170,-7196,+8246,
-0.025578871,12269.830624146123,817.0925737013732,2010,190.06105,-264,+439,+471,-529,+1813,-2057,+2421,-5076,+6215,+6773,
-0.062402617,31975.858923656175,1815.7423254004823,4000,173.12292,+635,+2255,+2471,+2878,+3674,-3740,-4533,+4667,+6332,-7040,
-0.023049684,20996.93128841847,1069.7289367199746,3046,276.12894,+186,-1919,-2168,+4284,+4831,-5075,+5653,+7393,-7431,+7792,
-0.039857157,21919.943591462743,1763.4330753328513,4402,263.2424,+2295,+2579,+3207,-3292,+3570,-3918,+4096,+5346,-5767,+7197,
-0.033123877,31368.75107957314,1499.4799282831527,4000,269.34116,+192,-355,-2528,+2739,-3128,+3687,+4612,+5851,+8046,+8274,
-0.0018680941,-3789.0590700491766,-493.1534340229008,-964,202.83022,-453,-1442,-2142,-2827,+3312,+3464,+4573,-4621,+5418,-6832,
-0.020420404,20269.214164230772,979.3884494049536,1992,285.3605,-962,+2674,-3037,+3867,-4043,+4888,+6988,-7757,+8325,-8395,
-0.03454569,19900.763217845382,1642.0669008672487,4286,282.8135,+531,+1094,-2337,+2783,-3306,+6043,+7592,+7598,-8184,+8279,
-0.02807188,23330.03730645664,1247.4749754346467,3601,264.40128,-107,-1148,+1757,+4479,+4507,-4890,+5699,+5795,+6921,-7781,
-0.013818975,13612.942824835256,770.1973198746805,1858,331.61133,-63,-302,+1058,-3326,+4321,-5315,+7024,-7520,+7704,+8159,
-0.0029022603,-8882.088263386684,-103.54249715839143,193,306.04037,-1288,-2391,+3207,-3725,+4728,-4755,+5235,+6300,+7827,-7957,
-0.041583575,28555.968144334976,1790.7752785069888,4000,256.22556,-679,+2285,+2863,-3079,+3819,+5411,-5558,+5704,+7529,+7825,
-0.034197144,24880.425711101638,1709.0734784206816,4000,297.35422,+663,+855,+1826,-1888,+1944,-2866,+3081,+4952,-7419,+7643,
-0.009876897,-32215.238855465122,-1669.1395954893221,-4003,326.1676,+2273,-2358,-3059,-3194,-4986,-5087,-6272,+6985,-7296,-8186,
-0.022455636,15948.33934791599,1051.0159068895202,2476,278.47556,+1999,-2036,+2235,-3050,+3601,+3940,+4163,-7190,-7834,+7864,
-0.0107855955,-21025.104155304118,-2107.1642561795434,-4985,194.93689,-340,-629,-647,-1850,-1962,-2931,-3088,+3348,+4921,-6972,
-0.04129342,32327.475711466832,1896.4715267818651,4602,273.25537,+537,+717,-805,+1730,-2429,-4313,+4358,+6056,+8215,+8362,
-0.010616565,-5837.161650046485,411.4426962603392,795,230.58366,+842,+1255,-1427,-2363,+2737,+3134,-4068,-4592,+6014,-7701,
-0.0026384315,1898.5266620718967,125.37537122578922,151,282.72852,+1011,-2375,-2430,+3136,+5382,+6216,-7136,-7447,-7621,-8261,
-0.016107751,-2586.718502394904,558.3112277359669,1065,206.22658,+1171,+1807,-2547,-3270,-3475,-5255,+5461,-5735,+6551,+6644,
-0.000484147,5412.044336977217,21.84188940863436,474,268.4208,+852,-1201,+1283,+1431,-2112,+5510,-5694,-7808,+8034,-8284,
-0.024055924,29929.21872869946,1141.0169088263924,3135,282.21054,-52,-212,+1077,-3027,+3105,+3591,+5544,+6577,-7203,+8239,
-0.0031541588,-13051.127646243405,-164.82320719223523,0,413.77524,+913,-1618,-2535,-3625,-3954,-4621,+6017,+6106,+7247,+8252,
-0.0012223502,-3906.3868612419587,-49.78904606017788,-110,319.58005,+1319,+3270,-6107,-6365,-6528,+6977,-7536,-7847,+8056,-8245,
-0.008824189,-18329.926381362166,-390.93230146857854,-1432,207.72363,-1007,+1523,+2112,-2146,+2153,-2745,-3056,-5567,-5878,+7236,
-0.025466677,26301.37165116224,1023.1151718369297,2119,239.03168,+1119,-1197,-2179,-2432,+3702,+4504,+5017,-5335,+6619,+8248,
