score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.032264724,24141.658691496057,1522.4052818857474,3126,280.74078,+889,-995,+1113,+1294,+2932,-3957,-6861,+7446,-8061,+8062,
-0.005727778,4776.932006159754,302.09742993937635,1000,313.808,-1244,-1524,+1884,+2503,+3259,-3807,-3908,+4585,+7327,-7437,
-0.0034926133,-11423.630444979284,-703.2356678720379,-1591,327.07974,+1834,+2402,-2763,-3424,+4131,-4177,+4873,-6709,-7517,-7919,
-0.0047392338,5038.24417968479,174.72139274825832,245,219.35179,+580,-1423,-2447,+3644,-4613,+4657,-5472,+5583,-6128,+6178,
-0.007416784,-12813.625598087376,-602.435513313301,-1252,172.76527,-333,+567,-1211,-2568,+3290,-3495,+3986,-4038,-6185,+6659,
-0.03586741,32145.140424598485,2026.3714790544504,5172,336.14157,+847,-1350,+3498,-4634,+4856,+4875,+6515,-7295,+7378,+7917,
-0.0006306125,-1392.2232213541881,-69.76912117409776,800,220.77318,-943,-3314,-4808,+4933,+5516,+6013,-6665,-6759,+7190,+7490,
-0.011237227,-3198.2852694935086,456.43578796349306,1071,241.67053,+886,-1357,+2213,-4035,-5661,+6035,-6799,+6951,-7545,+7586,
-0.008130695,-25180.731801103724,-1363.7478018742454,-2966,309.69965,+2627,-3216,+4542,-4999,-5752,-6051,-6430,-6696,-7703,+8169,
-0.00682656,7402.373314267366,263.8718882671965,694,229.98228,-669,-836,+2294,+3694,-3835,-4236,-4837,+5807,+6641,+8218,
-0.002943312,-6769.085724074271,-246.27981957093135,-160,229.98193,-169,+853,-1260,+2142,-2484,+2549,+3485,-3882,-4245,-7547,
-0.026710998,4503.499006757951,1042.6701120022892,3066,232.2523,+759,+2123,+2423,+3970,-5697,-6359,-6570,+7615,+8221,-8228,
-0.017488511,-43692.59438821631,-1906.772437863443,-4597,249.83598,-118,+1011,-1210,-2181,-3742,-5879,+6100,-6708,-7256,-8236,
-0.0065114936,-10200.945136736002,-593.1425090735822,-1822,156.6606,+216,-667,-992,-3459,-3466,-3751,+5200,-5432,+5813,+6262,
-0.00094888074,-2040.2178448788231,24.601258951409495,415,215.0131,+488,+1032,-1858,+2816,+2935,-4159,+4494,-5686,-6849,-6850,
-0.013622465,6603.192867575043,527.0257392337068,761,230.18623,+837,+1337,-2653,+3406,-3682,+4125,+4450,-4655,-4666,-7594,
-0.009068613,-15848.520512564013,-1163.6928790350635,-3898,174.76234,-1489,-2891,-3408,-3753,+4079,-4476,-4479,-5048,+5905,+5954,
-0.04051126,26328.232435216778,1512.5332509888253,2793,222.14287,+499,+1693,+1706,-2934,-3122,+3962,-4441,-4762,+5129,+8416,
-0.039766435,41186.867008925285,2540.856944247073,6328,380.1603,+3154,-3164,+3785,+4021,+5244,+5745,+7236,-7530,+8017,+8295,
-0.010113975,2279.368350630864,532.1616711909296,1143,313.05807,-1789,+4192,+4445,-4591,-5711,+6974,-7101,+7171,-7764,+7770,
-0.008701305,-20601.038721619294,-1242.8569880277855,-2531,236.75804,-960,-1530,+1802,-2370,+2907,-6691,-6988,-7400,-8122,+8435,
-0.036009405,34526.37476944667,1688.9542386113715,4000,279.06485,-223,+294,+979,-1311,-2419,+4181,+5813,+6371,+7614,+7823,
-0.06563044,43959.17317720052,2763.1147394718964,6554,250.4937,+534,+1889,+4091,-4267,+4581,+5381,+5428,+6574,-6944,+7146,
-0.0040406357,-8387.690913678565,214.7223527960368,627,316.17734,-1324,+2701,+3165,+4097,-5054,-5681,-5704,+6492,-7770,+8202,
-0.011780958,22505.178592936685,472.2821683093946,1308,238.51964,-1950,-2194,+2337,-2403,+3614,+5349,+5999,-7013,+7191,-7924,
-0.0057244105,-1412.5227040334041,313.4469012171427,1111,325.789,-14,-118,+604,+3137,-3308,-4167,+5424,+6879,+7205,-8348,
-0.01188978,-23191.04383487797,-946.1906993997206,-2878,195.05022,+2695,-2919,-2954,+3083,-3715,-4198,-4911,+5386,-6047,-6455,
-0.0121517815,-34555.53346847837,-1695.1187973818364,-4677,284.366,-2765,-4605,-4619,+4630,-5046,-5425,-5513,+6581,-7818,-8130,
-0.0060983533,7633.11026334532,343.1907293811319,1648,334.8314,+77,+2345,-2544,-3931,+3977,-4740,+4780,+5357,-7262,-8187,
-0.0010444177,-2347.9980773653374,-373.7924105485695,-974,224.81407,-612,+735,-1207,-1403,+1748,+4059,+6574,-6580,-6915,-7435,
0.00091676903,2321.365015870966,-47.015446955061606,125,253.21155,-692,-2246,+2266,-2597,+3012,+3026,-3994,+4341,+4993,-8073,
-0.007083031,8247.274444917255,370.2684322001433,534,311.0289,+218,-1099,-1171,-1408,-2617,-3930,+6042,+6231,+7823,+7893,
-0.0022948147,-5642.326825121505,-334.7069103518786,-312,245.87286,-736,-977,+1018,-3227,+3838,-4129,-4690,+4778,-6295,+7582,
-0.007630042,-23516.289472392422,-814.1629198645383,-1711,308.20657,+281,-1214,-1455,+1769,-4663,-5103,-6245,+6468,+7205,-8419,
-0.0013208803,-4224.507137091364,-416.88102240095657,-185,319.82513,-1335,+3952,-4739,+5013,-5161,+5713,+5989,-6363,-7221,-8048,
-0.024720542,29096.423014596865,1247.8938876402674,2495,300.3467,-1528,-2032,+4349,-5741,-6478,+7054,+7117,+7640,+8072,+8365,
-0.0030478085,-9235.852553137116,-359.8764569484009,-937,303.03256,+156,+3647,+4564,-4773,-5846,-6053,-6770,-7272,-7438,+7456,
-0.019919058,13734.773608735006,835.0201267112575,2415,249.42003,+1132,-1423,-2788,+3618,+4432,-4807,+4872,-6850,+7552,+8078,
-0.026523555,29329.43235838903,1663.1319830664336,4553,373.07675,-1524,+2234,+3904,-4440,+5052,+5499,+6561,-7785,+7969,+8000,
-0.0018066628,566.7446774258252,87.58589557090102,654,288.4432,+143,-311,+4716,-5204,-5901,+5992,-6482,+6826,+8169,-8263,
-0.018230723,-145.46092467550253,835.0901931824435,2000,272.54153,-812,+1992,-2062,+2126,+2414,+3201,-4329,-6216,+7359,+7614,
-0.007609104,-11822.439147187282,-340.4776236407761,145,155.3723,-1556,-1716,-2030,-2391,+3014,+5214,+5348,+5534,+5937,-6314,
-0.04155054,26350.59518894931,1554.668012857867,4000,222.62,+91,+1413,-1596,+3248,-3474,+3531,-4560,+4743,+6322,+7709,
-0.0075552184,-23463.71418339088,-1944.2683913405976,-5213,310.56302,-1557,-1852,-2027,+2743,-2872,-4497,-5974,+6320,-6964,-7927,
0.0006462333,1585.6322455748652,-624.3857005473109,-1183,245.3653,-712,-1780,-1782,+2812,+3457,-4925,-5324,+5778,+6234,-7619,
-0.0006175114,11758.589995731261,24.355799245193698,-166,234.67163,-648,-2265,-2321,+2980,+3827,-4106,-4364,+5110,+6630,-8427,
-0.022568295,13106.416414532565,1455.558701862079,3178,383.73746,+2604,-3669,+4619,-6440,+7001,+7076,+7087,-7690,+7956,-8022,
-0.049648166,33929.39860619818,1887.023087346275,5203,226.13991,+337,-545,-985,+1751,-1758,+2538,+4527,+5926,+5969,+8300,
-0.021112675,16024.79725989681,1185.7966357088396,2754,334.1721,-333,+908,+1209,+1749,+2880,+3800,+4101,-6068,-7013,-8252,
0.006870813,16410.495373021084,-309.2410754132803,-889,238.84358,-1455,-1868,-1955,-2717,-3128,-3213,+3849,+3872,+5599,+8142,
