idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-295.19724,20,9.536583565352632E+21,0,0,1319103,0,0,76.62039,0,0,14310427,-1651.4844253554058,-1061.6943975740126,2713.1788238259574,-19503.85484515257,-11906.5091971743,133518.50778344434,66.07059,27.682688,   7291,7271,   7271,7218,   7218,7243,   7243,7218,   
1,-474.77838,20,3.4468232341450918E+25,0,0,135054,0,0,82.20622,0,0,835531,-1841.1823723501286,-1073.507890738976,2914.6902651698188,-32728.840010815635,-21243.765888087135,208529.17892387847,68.93498,20.700537,   3663,5549,   5549,3483,   3483,5549,   
2,-602.88654,20,3.115321440492334E+24,0,0,385691,0,0,108.52799,0,0,2003429.1,-1985.2115715106884,-811.1057195955319,2796.31729355027,-32489.353400062377,-8079.7442542227955,193197.84486333042,53.889668,25.037437,   4340,3528,   3528,6489,   6489,3528,   
3,-882.21716,20,7.826335905313457E+27,0,0,1898100,0,0,27.30634,0,0,2524947,-1436.5674748327467,-696.6628475287549,2133.2303236633534,-21076.354947299464,-9047.283690121823,79392.09547840369,23.890213,9.524268,   7629,7563,   7563,7593,   7593,7563,   
4,-457.12332,20,4.452146677437411E+25,0,0,180643,0,0,73.841385,0,0,831674.56,-1807.3214993525264,-1028.3573769985155,2835.6788792115726,-32027.533970667268,-19652.071694423426,206458.3158772898,70.063225,17.800625,   3500,5549,   5549,3483,   3483,5549,   
5,-2431.3167,20,1.3685526167832308E+27,0,0,5871119,0,0,134.68225,0,0,28767012,-15713.927828828584,-5928.528962234137,21642.456775717677,-260978.57424100774,-56032.03163486318,1683025.0334696649,107.34043,51.552757,   3961,3963,   3963,5117,   5117,5139,   5139,966,   966,6759,   6759,6769,   6769,6759,   
6,-2299.5508,20,1.5589991479626364E+34,0,0,977624,0,0,58.99261,0,0,2974441,-5912.61106332295,-1204.10532674222,7116.716372895982,-83715.56379988727,-11950.565811084056,275070.57773549936,36.40518,17.201914,   3317,6711,   6711,0,   0,944,   944,0,   
7,-594.826,20,3.2457585454866285E+25,0,0,228637,0,0,67.17969,0,0,1200863.2,-2139.5540150342813,-1299.9610938270987,3439.5151109894073,-38218.21536270182,-29400.936745334882,227823.81767357662,64.25108,25.660284,   5506,5549,   5549,3483,   3483,5549,   
8,-1526.6525,20,4.9628606973054054E+28,0,0,766742,0,0,60.544895,0,0,2986104.8,-5416.516876515139,-1667.3555093298862,7083.872384483734,-83651.344452282,-15828.451948628082,306005.6371158011,54.79397,26.555765,   5648,6732,   6732,2290,   2290,6732,   
9,-2572.4236,20,3.051356294576908E+34,0,0,444265,0,0,50.11299,0,0,1658203,-4680.292056198239,-883.4412746297681,5563.7333095737,-61337.47585483415,-8264.23311449982,205018.48130810657,23.844236,11.71798,   762,0,   0,944,   944,0,   
10,-337.19986,20,9.429473981771476E+25,0,0,143230,0,0,61.658203,0,0,594139.75,-731.730068680411,-410.7813420588594,1142.5114116575483,-14324.583967866482,-10951.7561218386,60168.57877609866,42.48099,22.282885,   5512,6708,   6708,5218,   5218,6708,   
11,-1086.9095,20,2.0646256122908714E+31,0,0,762598,0,0,185.87743,0,0,3615581,-7539.919373217545,-2001.7094613211711,9541.628824140724,-122025.12873295776,-20485.146099360216,484819.37622250593,112.26797,42.486076,   4322,5056,   5056,4961,   4961,3321,   3321,0,   0,944,   944,0,   
12,-1071.7365,20,1.4495068659980716E+26,0,0,3719747,0,0,33.5318,0,0,16888736,-2071.2759343727953,-927.669414880611,2998.9453485634567,-31620.88416881526,-10396.942149422195,246029.4119624313,29.504347,13.222122,   3084,1162,   1162,3123,   3123,1162,   
13,-2136.357,20,3.1697009754581566E+30,0,0,594358,0,0,23.512676,0,0,1883627.8,-2498.472880497162,-809.617366568986,3308.090247586699,-39306.16223870232,-9131.34026179203,169887.43001559516,18.398687,11.777714,   2194,6756,   6756,1957,   1957,6756,   
14,-697.8677,20,9.839551812854916E+29,0,0,1787229,0,0,20.893679,0,0,2915120,-582.2787385660399,-261.43450910578423,843.713243314167,-8186.844806997615,-3286.216165433992,58218.98167717729,11.731228,7.4914513,   7513,7855,   7855,7858,   7858,7855,   
15,-2497.102,20,3.173524190914717E+34,0,0,453488,0,0,34.672745,0,0,1131396.8,-3137.859775903239,-623.2165503329497,3761.0763072732007,-37201.63460473058,-5901.993742691941,103241.66686351605,14.8979225,6.4710197,   808,0,   0,944,   944,0,   
16,-144.51668,20,2.242618720543926E+22,0,0,381044,0,0,189.20755,0,0,1272075.9,-878.5870576808815,-939.9154403711834,1818.5025001235979,-10400.53634143536,-38703.296132658106,76060.0200039695,71.96772,36.135067,   5306,5301,   5301,2783,   2783,2738,   2738,2725,   2725,2738,   
17,-3375.006,20,2.718945971983334E+34,0,0,838573,0,0,41.045082,0,0,3518409,-5686.664186600457,-1139.9083943101416,6826.572572425294,-75492.13064809857,-12080.2247226962,267883.7838085717,22.367998,12.550612,   76,0,   0,944,   944,0,   
