#NOTE: 1 is the baseline and 2 is the scenario
Ck1_road,8000590.30751847
Ck1_bus,3080493.3298676056
Ck1_rail,8979350.362518104
Ck2_road,7972860.995309365
Ck2_bus,3065746.536980863
Ck2_rail,9021826.467884937
CkDiff_road,-27729.31220910512
CkDiff_bus,-14746.79288674239
CkDiff_rail,42476.10536683351
C1,20060433.999904178
C2,20060434.000175163
CDiff,0.00027098506689071655
CBark1_road,12.553220849515574
CBark1_bus,26.6590352594903
CBark1_rail,28.940334184917855
CBark2_road,12.538722052056054
CBark2_bus,26.638959046089152
CBark2_rail,29.030347283694343
CBarkDiff_road,-0.014498797459520318
CBarkDiff_bus,-0.02007621340114696
CBarkDiff_rail,0.09001309877648822
CBarkPCTDiff_road,-0.0011549862488143688
CBarkPCTDiff_bus,-0.0007530735154416387
CBarkPCTDiff_rail,0.0031102992177401392
CBar1,68.15259029392372
CBar2,68.20802838183955
CBarDiff,0.0554380879158316
CBarPCTDiff,0.0008134406583336319
Pk1_road,8000590.307920049
Pk1_bus,3080493.329995243
Pk1_rail,8979350.362919828
Pk2_road,7972860.995711984
Pk2_bus,3065746.5371084088
Pk2_rail,9021826.468286645
PkDiff_road,-27729.31220806483
PkDiff_bus,-14746.792886834126
PkDiff_rail,42476.105366816744
PkPCTDiff_road,-0.003465908281869485
PkPCTDiff_bus,-0.004787153000216656
PkPCTDiff_rail,0.004730420759860486
Pk1PCT_road,0.3988243877269546
Pk1PCT_bus,0.15356065227038465
Pk1PCT_rail,0.4476149600026607
Pk2PCT_road,0.39744209897852023
Pk2PCT_bus,0.15282553393315323
Pk2PCT_rail,0.4497323671018814
alpha,5.1103524789300185E-06
alphak_road,2.938011261077662E-07
alphak_bus,2.112574989122405E-07
alphak_rail,5.097524264519979E-06
nPlus_road,0
nPlus_bus,0
nPlus_rail,0
nZero_road,71166096
nZero_bus,71166096
nZero_rail,67269381
nMinus_road,0
nMinus_bus,0
nMinus_rail,3896715
Rho_road,0
Rho_bus,0
Rho_rail,0.054768200215814015
RhoPlus_road,0
RhoPlus_bus,0
RhoPlus_rail,0
RhoMinus_road,0
RhoMinus_bus,0
RhoMinus_rail,0.054768200215814015
d_road,0
d_bus,0
d_rail,49714230.44120669
delta_road,0
delta_bus,NaN
delta_rail,282896.31663134584
t_road,0
t_bus,0
t_rail,477573.9252864703
that_road,0
that_bus,0
that_rail,3396625.256025704
chik_road,0
chik_bus,0
chik_rail,3874199.1797444248
chi,3874199.1797444248
