idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
183,-432.24597,20,0,0,862746,0,0,382.05032,0,0,2547114.5,-5032.090115,-1796.519494,6828.609608,-83683.34956,-20899.7054,277146.4638,193.60123,286.3553,1169,3040,7764,7776,730,4922,3056,3095,129,946,983,1380,5025,5022,6840,6869,1270,3038,8367,7338,   
184,-709.2013,20,0,0,3865069,0,0,293.17374,0,0,12201239,-5650.614612,-1805.197795,7455.812404,-99283.65888,-21358.12698,414626.0292,139.99362,198.83061,1978,1953,6811,6813,6515,3235,2080,6751,6554,2088,3794,6147,368,263,5092,2698,8271,8060,1466,1545,   
185,-1122.4854,20,0,0,1354117,0,0,215.48308,0,0,3635957.5,-8060.101497,-2094.522845,10154.62434,-144471.2619,-26338.74469,489150.0159,128.70659,214.82523,7141,7083,7563,7539,3233,3226,5255,2049,5473,5399,367,594,2011,2243,621,42,3529,3510,1288,2649,   
186,-546.8944,20,0,0,4158327,0,0,267.93756,0,0,5509528.5,-5659.28781,-1793.233346,7452.521161,-82465.52807,-19081.07304,354341.7216,150.78876,255.11986,5934,5928,6492,6497,3223,3200,4169,4132,448,734,8188,7882,933,554,1318,1437,1723,2534,3905,3908,   
187,-171.34431,20,0,0,283382,0,0,407.68958,0,0,458849.62,-1960.261104,-690.7919213,2651.053024,-31531.88764,-7733.587747,90027.28103,184.02646,209.57025,5648,2423,2800,2790,2553,4278,5869,4545,1306,1361,7085,7176,4542,3249,6892,6891,5613,1802,5964,4116,   
188,-501.73605,20,0,0,857021,0,0,412.84393,0,0,6512787.5,-6131.149901,-1908.800741,8039.950643,-111594.4502,-21654.04137,423028.8173,222.41666,164.74124,4345,3529,321,103,3276,4778,3238,6506,4656,3584,7032,7084,5155,5081,1049,1335,418,502,3092,3123,   
189,-1416.0626,20,0,0,1829099,0,0,270.02463,0,0,10000172,-15299.21337,-5191.265627,20490.47898,-257634.1824,-63655.52052,1079921.407,181.937,217.97311,4105,3175,1791,1870,6011,1923,7768,7768,5518,5539,1130,6858,95,350,2091,2116,989,1061,249,883,   
190,-615.8122,20,0,0,835997,0,0,285.5202,0,0,3167465.2,-6121.457999,-1912.878551,8034.336552,-111810.5354,-30500.29347,401172.0669,181.56598,237.46477,4819,4864,6608,6618,6176,5417,2491,2273,2153,2034,3504,4311,7260,7221,6025,3830,365,657,3236,3246,   
191,-317.60382,20,0,0,1072211,0,0,309.81384,0,0,7914469.5,-3093.517212,-1741.574666,4835.091878,-58738.53318,-29838.95107,285813.4002,184.94276,286.27045,5595,1860,953,5134,1182,5926,5810,5806,1196,3977,3634,4813,2717,2772,7217,7240,3168,3157,6370,5790,   
192,-963.13416,20,0,0,3411430,0,0,304.3901,0,0,12063519,-8880.56013,-3412.820261,12293.38039,-149407.159,-38706.58065,558109.7867,155.126,180.00859,6486,6460,4011,4014,2328,2495,980,2638,4621,4722,3124,3091,7188,7141,465,4743,6879,6878,6246,6290,   
