idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-612.9948,20,0,0,1198159,0,0,340.0165,0,0,4916503,-7562.861362,-2326.220993,9889.082358,-138315.8523,-30271.61449,535763.464,225.63953,126.7355,3492,3663,5981,1945,2880,5234,1395,1010,1701,4008,1306,1417,1533,1435,3271,4794,4550,1275,7183,7107,   
1,-757.226,20,0,0,1202147,0,0,381.21396,0,0,5701628.5,-8576.993477,-2502.756828,11079.7503,-159459.4769,-30996.18815,623950.5123,210.58374,312.02643,6257,197,4142,3152,1391,2662,6894,6895,7697,8403,4817,4862,8241,7536,2646,1285,7496,7725,3910,3902,   
2,-1438.5458,20,0,0,2902833,0,0,265.4496,0,0,10127534,-12124.21063,-3725.934256,15850.14488,-199513.4055,-37308.62615,849430.8199,138.69104,244.2175,3602,4618,2488,2341,4059,2852,1505,1525,111,697,6954,6952,7990,7585,7196,1151,1076,1340,8316,7912,   
3,-587.1724,20,0,0,717481,0,0,274.68082,0,0,2065111.8,-4886.714178,-1181.859002,6068.573182,-85865.25761,-12463.97636,255022.057,146.23517,213.13318,6228,677,1833,1823,616,265,6030,3004,8376,7648,6563,6584,5998,2856,1289,999,6822,6804,5889,5884,   
4,-982.1643,20,0,0,1445666,0,0,267.04443,0,0,3975807,-10648.10539,-3157.448244,13805.55364,-182032.88,-40988.19364,732790.2697,185.33852,242.60277,5687,2431,5992,2093,547,295,8206,8050,2335,1063,8339,7855,6058,6078,106,6658,3519,6489,2149,2009,   
5,-346.61026,20,0,0,1003779,0,0,313.2935,0,0,3108840.8,-3807.878691,-1686.044364,5493.923054,-67437.56609,-24299.00704,288909.816,194.5631,200.5964,2897,2899,3709,4754,6745,7134,5106,5121,1643,2776,4231,5604,7015,7055,6872,3855,6170,6174,2087,6042,   
6,-711.03217,20,0,0,1525288,0,0,341.1614,0,0,4956081.5,-8757.168277,-2478.626696,11235.79497,-146083.4411,-28023.44918,542336.9479,205.45264,256.5449,2211,1944,6537,6552,2388,2257,988,2652,741,177,5822,5851,7662,7845,6437,6226,7971,8392,4515,3733,   
7,-843.562,20,0,0,1586019,0,0,288.0098,0,0,8453340,-7543.30773,-2008.847917,9552.155647,-138722.3448,-26743.97581,505975.7633,164.4483,227.59181,5477,5403,3664,3659,4232,1254,4448,4498,1349,1384,2140,2170,6202,554,8302,7826,2966,2967,3867,1334,   
8,-595.14484,20,0,0,1370562,0,0,287.7175,0,0,2827394.8,-6889.348762,-1823.33698,8712.685739,-124253.916,-20147.95593,468720.605,208.77928,236.15349,7355,8382,6400,3507,468,884,473,469,980,1089,3448,6193,2929,2920,1426,1037,5493,2072,4115,4099,   
9,-770.9272,20,0,0,3154069,0,0,344.786,0,0,12001038,-7965.925149,-2546.444373,10512.36952,-145601.8451,-39424.25446,615920.37,188.86589,291.041,7523,7832,4862,505,7710,7560,767,594,3945,3907,1652,1716,4305,3524,1720,2546,3099,5921,4012,5745,   
