idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-148.85866,20,12142980864,0,0,544419,0,0,702.8427,0,0,4625229,-1149.3296919243385,-651.8849919471588,1801.2146839768125,-24856.904634111714,-9593.827270482663,90603.84945346175,166.98326,67.16923,   1192,1190,   1190,1188,   1188,3899,   3899,3942,   3942,3941,   3941,4178,   4178,4137,   4137,5980,   5980,5976,   5976,7024,   
1,-201.33228,20,526737934800,0,0,506509,0,0,295.7334,0,0,1800386.6,-1394.2182786799228,-1202.87221513556,2597.090494271223,-26142.983664350824,-41510.58674287794,134129.07101570457,129.84995,52.872852,   4022,2949,   2949,2946,   2946,5771,   5771,5350,   5350,5333,   5333,5309,   5309,5307,   5307,5303,   
2,-998.6708,20,4.3526904132912476E+18,0,0,4235042,0,0,341.87042,0,0,11973497,-9889.781018850677,-2941.904510935893,12831.685530110677,-191709.30629633376,-34536.5842633708,874146.4311542822,191.96448,73.40586,   5875,2991,   2991,2977,   2977,6035,   6035,3824,   3824,1048,   1048,1027,   1027,5161,   5161,5066,   5066,5154,   5154,5614,   
3,-295.04544,20,32150686591435104,0,0,626190,0,0,503.7361,0,0,4185609.2,-2653.7517040851744,-1242.0483932869395,3895.8000979343333,-52077.69576068194,-31217.103106612612,207091.83735294026,176.50737,73.85004,   975,1122,   1122,1398,   1398,1348,   1348,4079,   4079,4050,   4050,5757,   5757,5766,   5766,5332,   5332,5331,   5331,5309,   
4,-249.35995,20,5.939817126843599E+17,0,0,675030,0,0,465.08298,0,0,2847641.8,-3318.952719736157,-1257.3029223243748,4576.255643472879,-59304.57561695298,-12908.785660124831,315961.25288804993,237.82718,91.134636,   3694,3444,   3444,6280,   6280,6304,   6304,4603,   4603,4627,   4627,4687,   4687,3221,   3221,1239,   1239,1234,   1234,1231,   
5,-91.009674,20,55102602240,0,0,160298,0,0,226.16544,0,0,875075.75,-699.9189337512324,-1126.676283627828,1826.5952198785876,-12596.814229365835,-46199.15032374067,71083.14485152575,138.41182,61.118713,   5340,3749,   3749,3751,   3751,3740,   3740,6105,   6105,6090,   6090,6157,   6157,6161,   
6,-107.60607,20,203879628288,0,0,116474,0,0,577.7743,0,0,729797.06,-984.934444608714,-496.581875601105,1481.5163203967697,-21175.24835006204,-7816.465474025305,59775.29777118501,196.78488,73.40398,   2984,5873,   5873,5908,   5908,2954,   2954,2959,   2959,6897,   6897,6898,   6898,7033,   7033,7041,   7041,7026,   7026,5978,   
7,-965.43536,20,4623025182720,0,0,1951847,0,0,378.04852,0,0,8882557,-7852.184624543839,-1999.5783868584383,9851.763012043555,-137548.46160108046,-22232.2644463544,710874.0124165524,142.47299,48.659214,   349,467,   467,4355,   4355,4487,   4487,4489,   4489,4495,   4495,4908,   4908,4991,   4991,4999,   4999,5002,   
8,-269.85287,20,604460969164800,0,0,339332,0,0,570.3618,0,0,1396195.8,-2515.084554962657,-755.7751150313937,3270.8596693631703,-48444.45655903526,-8508.779391366168,176019.37725201336,179.52173,70.59254,   2645,1287,   1287,992,   992,5134,   5134,5126,   5126,5618,   5618,5638,   5638,5628,   5628,5623,   5623,5622,   5622,2586,   
9,-737.7417,20,2.1923751823426253E+19,0,0,1734790,0,0,350.86554,0,0,6075527.5,-6545.5049253176985,-1740.660991346965,8286.16591881122,-113640.95275671744,-17089.482895010144,451487.2856204928,154.03894,65.09093,   1030,1072,   1072,2377,   2377,2327,   2327,2423,   2423,5637,   5637,5625,   5625,5624,   5624,2571,   2571,6767,   6767,2583,   
