idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-635.2575,20,0,0,669113,0,0,275.5447,0,0,1741067.8,-6291.26654,-1114.28818,7405.554717,-103635.3768,-10785.52309,330035.7696,163.13916,16.506636,774,46,774,907,774,367,774,303,774,39,774,774,774,478,774,219,774,372,774,838,   
1,-294.2918,20,0,0,419528,0,0,312.66336,0,0,1426474.6,-3072.270012,-1405.579548,4477.849559,-61795.44659,-33222.00407,232951.4908,209.98016,21.997368,1636,1696,1636,5684,1636,1622,1636,6760,1636,1701,1636,1614,1636,1629,1636,1634,1636,1651,1636,1692,   
2,-136.36058,20,0,0,460720,0,0,347.51718,0,0,4135463.8,-973.1225807,-917.1442803,1890.26686,-20573.67375,-15190.23266,128101.4376,150.87698,23.45532,3998,3998,3998,4003,3998,4006,3998,5107,3998,3991,3998,3997,3998,3995,3998,4000,3998,3992,3998,3996,   
3,-29.368494,20,0,0,170176,0,0,315.23206,0,0,2283507,-318.413507,-258.5526879,576.9661948,-6847.100212,-3552.323937,42592.42244,233.14441,11.22574,8258,8258,8258,8269,8258,7431,8258,8267,8258,8261,8258,8260,8258,8266,8258,8264,8258,8265,8258,8262,   
4,-1383.307,20,0,0,1193895,0,0,224.7944,0,0,4049416.8,-10636.04726,-2144.688952,12780.73621,-200436.0612,-24088.89772,664079.0903,144.8963,18.815922,866,389,866,651,866,15,866,282,866,657,866,723,866,4867,866,285,866,4786,866,639,   
5,-177.1156,20,0,0,1099448,0,0,341.3499,0,0,3507976.2,-2044.401239,-790.2117842,2834.613023,-31086.82791,-8493.143682,110537.0669,175.51717,21.897917,7158,7009,7158,7127,7158,7056,7158,7078,7158,7001,7158,7077,7158,7059,7158,7125,7158,7008,7158,7091,   
6,-872.5116,20,0,0,2186737,0,0,352.93112,0,0,6254004,-8598.529042,-2746.914005,11345.44305,-164895.4269,-30812.97315,518894.8802,188.98938,25.609211,2688,5104,2688,5064,2688,5168,2688,990,2688,5192,2688,5147,2688,5126,2688,954,2688,1078,2688,1412,   
7,-52.5814,20,0,0,13751,0,0,495.5158,0,0,77576.05,-488.8835444,-178.9267977,667.8103422,-11866.16404,-2581.622105,19203.92301,225.67227,28.740639,5061,4302,5061,4318,5061,4321,5061,5039,5061,5052,5061,5000,5061,4970,5061,3349,5061,3345,5061,4967,   
8,-1709.4779,20,0,0,1712528,0,0,311.4821,0,0,5730804,-18038.76173,-3288.456463,21327.21819,-330665.5969,-33776.34424,1181745.123,193.43076,22.40416,588,360,588,231,588,20,588,6259,588,216,588,126,588,776,588,79,588,347,588,488,   
9,-123.08238,20,0,0,853373,0,0,180.50537,0,0,1445227.9,-975.3238169,-490.1185907,1465.442408,-16529.07932,-6459.050719,67349.56359,134.29282,17.346344,8046,8052,8046,8048,8046,7459,8046,7449,8046,8264,8046,8064,8046,8049,8046,8034,8046,8272,8046,8196,   
10,-503.07907,20,0,0,1050756,0,0,443.84384,0,0,7237763,-5655.639623,-1808.225639,7463.865264,-101451.55,-18379.6307,438146.6769,201.66124,26.861649,5191,955,5191,1558,5191,5085,5191,1151,5191,1424,5191,1441,5191,1551,5191,1568,5191,1596,5191,5146,   
11,-329.55917,20,0,0,871968,0,0,264.43756,0,0,3688282.8,-2991.930683,-1318.349815,4310.280498,-48252.09762,-17918.4078,208694.0878,146.41406,21.2761,8120,8103,8120,8118,8120,7866,8120,8101,8120,8123,8120,8296,8120,7679,8120,8402,8120,8323,8120,7706,   
12,-296.96606,20,0,0,295580,0,0,329.59103,0,0,975685.1,-3265.283323,-1593.644823,4858.928145,-67661.35466,-27895.3937,245238.2585,227.84203,23.803589,4417,4490,4417,4362,4417,3316,4417,4454,4417,4470,4417,4389,4417,4352,4417,450,4417,4440,4417,4395,   
13,-1165.9038,20,0,0,1146093,0,0,299.5083,0,0,4346705,-12994.99174,-2728.725288,15723.71703,-223525.7198,-26119.04518,797877.4802,191.71884,23.635248,324,123,324,98,324,787,324,4952,324,815,324,133,324,6290,324,56,324,37,324,463,   
14,-10.694465,20,0,0,12839,0,0,489.43195,0,0,98191.74,-124.2545366,-83.59762341,207.85216,-2449.62098,-1532.049847,8721.382641,229.05505,23.955732,7764,7306,7764,7728,7764,7720,7764,7764,7764,7760,7764,7718,7764,7305,7764,7722,7764,7426,7764,7756,   
15,-506.94528,20,0,0,731269,0,0,242.94067,0,0,1849659.9,-3979.067754,-1243.057994,5222.12575,-67607.32642,-11908.04858,205617.8679,133.36218,15.454869,1149,1579,1149,1141,1149,1482,1149,3814,1149,2657,1149,1583,1149,1538,1149,1130,1149,1524,1149,6788,   
16,-189.80605,20,0,0,416076,0,0,298.65475,0,0,1151571.6,-2216.294267,-921.2073477,3137.501615,-40145.6548,-16780.6322,192606.6121,211.50883,24.997435,5785,2936,5785,1218,5785,2854,5785,2876,5785,6677,5785,5775,5785,5220,5785,2942,5785,5699,5785,1220,   
17,-3676.1118,20,0,0,8426601,0,0,184.68182,0,0,11398310,-22796.1438,-4254.940382,27051.08417,-359623.4966,-42170.22811,1250841.211,97.82714,12.547322,369,251,369,857,369,881,369,567,369,165,369,759,369,209,369,937,369,6781,369,364,   
18,-2259.62,20,0,0,2200826,0,0,211.0229,0,0,5630478,-17080.88387,-3202.528138,20283.41202,-293369.4381,-32712.76127,995707.0014,129.83131,17.592741,393,278,393,6783,393,4926,393,6653,393,284,393,669,393,929,393,535,393,851,393,730,   
19,-804.7059,20,0,0,2368546,0,0,408.12552,0,0,9038558,-10738.93116,-2946.135667,13685.06682,-195390.371,-30620.26177,821936.3538,242.80968,31.828821,1102,2321,1102,1407,1102,1120,1102,2379,1102,1333,1102,954,1102,2383,1102,2388,1102,2683,1102,5131,   
20,-293.30093,20,0,0,497902,0,0,276.17316,0,0,1417853.4,-2299.863019,-718.8907547,3018.753773,-40125.33132,-7079.111055,122169.3736,136.80602,15.237706,1137,6847,1137,1459,1137,1559,1137,1596,1137,1570,1137,1502,1137,1133,1137,1499,1137,1505,1137,1498,   
21,-181.4051,20,0,0,198343,0,0,445.69955,0,0,705660.3,-1770.942629,-679.8871661,2450.829795,-43996.83254,-12380.67633,154457.3365,242.5336,18.9445,4522,4738,4522,4465,4522,269,4522,4395,4522,274,4522,4459,4522,460,4522,727,4522,4418,4522,4357,   
22,-1332.2062,20,0,0,2626958,0,0,291.3777,0,0,9250612,-14138.46495,-3324.925286,17463.39025,-274817.4019,-42321.20038,1136138.521,206.28745,21.242691,156,923,156,6296,156,6202,156,12,156,811,156,4983,156,857,156,416,156,782,156,165,   
23,-39.96573,20,0,0,495971,0,0,365.40903,0,0,5584017,-405.622352,-406.5783129,812.2006648,-7397.183322,-7631.052146,44139.02937,185.08817,21.151152,8222,8236,8222,8224,8222,8230,8222,8233,8222,8238,8222,8237,8222,8228,8222,8227,8222,8225,8222,7395,   
24,-204.6355,20,0,0,1747222,0,0,262.32056,0,0,5419536.5,-2317.763958,-1102.340559,3420.104517,-36058.25458,-13271.64847,270244.5621,176.20723,19.967602,7482,7979,7482,7799,7482,7864,7482,7464,7482,7800,7482,8312,7482,7885,7482,7786,7482,7643,7482,8088,   
25,-1218.177,20,0,0,2666159,0,0,261.6438,0,0,12454319,-13282.12266,-3894.242575,17176.36525,-223477.9812,-39484.81382,1112529.39,183.4528,25.391596,2465,2373,2465,2446,2465,2330,2465,5642,2465,2450,2465,2544,2465,2274,2465,2388,2465,2441,2465,5644,   
26,-38.14158,20,0,0,286850,0,0,472.87778,0,0,1089374.1,-348.2407553,-337.0438925,685.2846479,-9725.997572,-6193.750844,41631.92902,254.99727,30.64146,5907,5908,5907,5903,5907,2955,5907,5905,5907,2957,5907,5902,5907,6893,5907,5907,5907,5904,5907,6885,   
27,-466.5135,20,0,0,2168252,0,0,399.10583,0,0,12574063,-6368.19204,-2589.616522,8957.808564,-107820.4442,-32244.72718,508057.0692,231.11967,24.642132,2625,6767,2625,2561,2625,4271,2625,2578,2625,5626,2625,2600,2625,4254,2625,4252,2625,2563,2625,4239,   
28,-130.07838,20,0,0,850538,0,0,293.00806,0,0,2509673.2,-1656.956775,-1023.56281,2680.519587,-29765.62405,-16634.91493,165634.8809,228.82837,13.271266,5596,1859,5596,1801,5596,1865,5596,1792,5596,4223,5596,1870,5596,1777,5596,1868,5596,5589,5596,1824,   
29,-608.897,20,0,0,3278684,0,0,352.79465,0,0,10087615,-7780.397471,-3093.461285,10873.85875,-113359.2585,-26401.62003,662038.551,186.1715,24.574345,3582,3603,3582,4613,3582,4615,3582,3565,3582,3548,3582,4725,3582,4712,3582,4659,3582,3604,3582,4634,   
30,-270.09473,20,0,0,664551,0,0,386.19736,0,0,4265782,-3057.074447,-1492.118539,4549.192984,-65065.29922,-19271.8118,280014.815,240.89807,23.67778,6577,4569,6577,4562,6577,4566,6577,4571,6577,2965,6577,6577,6577,1271,6577,4527,6577,2958,6577,4536,   
31,-1460.5687,20,0,0,1559887,0,0,364.95413,0,0,6057859,-16729.54894,-3116.35029,19845.89923,-309702.0679,-32153.9749,1063343.712,212.0421,26.151966,267,4852,267,376,267,659,267,423,267,6320,267,732,267,637,267,6223,267,3367,267,624,   
32,-953.3197,20,0,0,2305955,0,0,216.0792,0,0,3977238.8,-8297.915476,-2378.506625,10676.4221,-141637.997,-23189.3526,476672.0503,148.57346,20.007065,2430,2288,2430,5643,2430,2370,2430,2522,2430,2422,2430,2358,2430,5641,2430,2539,2430,2443,2430,6718,   
33,-543.8259,20,0,0,2109310,0,0,298.2496,0,0,6643006.5,-7233.673574,-4106.026976,11339.70056,-131008.537,-109304.0783,986584.6334,240.9016,30.313454,5253,5571,5253,2897,5253,2905,5253,5508,5253,5238,5253,5527,5253,5548,5253,6355,5253,2904,5253,5250,   
34,-429.0313,20,0,0,1110371,0,0,466.92694,0,0,5080177,-4331.202774,-1402.730686,5733.933462,-96644.98118,-20075.4307,345600.5956,225.26324,24.293121,5619,6738,5619,5063,5619,5157,5619,2409,5619,2460,5619,5155,5619,5621,5619,2312,5619,2254,5619,2284,   
35,-567.19226,20,0,0,2309034,0,0,281.8267,0,0,8218150.5,-6099.187665,-1907.661845,8006.849509,-108499.7161,-27119.64084,472621.7324,191.29266,20.363153,2523,2302,2523,2327,2523,2408,2523,2317,2523,2436,2523,2299,2523,2331,2523,2426,2523,2389,2523,5688,   
36,-86.61674,20,0,0,33140,0,0,370.32327,0,0,141359.14,-661.6708942,-261.1607155,922.8316121,-16847.37196,-4674.351818,32368.01746,194.5048,27.365973,5833,3684,5833,5805,5833,5833,5833,3404,5833,3724,5833,5815,5833,5807,5833,3458,5833,3450,5833,3399,   
37,-34.96626,20,0,0,270989,0,0,577.16974,0,0,1430041.6,-327.363505,-322.157914,649.5214189,-8979.925977,-5898.817711,42168.30799,256.8169,29.932928,5907,2957,5907,5903,5907,5902,5907,6887,5907,5904,5907,5906,5907,2954,5907,6891,5907,6890,5907,6893,   
38,-1009.40674,20,0,0,4309349,0,0,220.42104,0,0,20540734,-11057.34866,-5297.112739,16354.46139,-179057.0209,-73014.15141,905653.8954,177.38837,22.838673,8210,7448,8210,7805,8210,7882,8210,7340,8210,8361,8210,8321,8210,7799,8210,8057,8210,7846,8210,8063,   
39,-112.16695,20,0,0,221946,0,0,396.7408,0,0,1513613.9,-1961.083638,-1495.352835,3456.436474,-23636.01114,-33882.88177,132723.5126,210.72173,20.505913,5419,6175,5419,5481,5419,5469,5419,5398,5419,5414,5419,6165,5419,5401,5419,5477,5419,5458,5419,5409,   
40,-2583.97,20,0,0,6803601,0,0,258.31793,0,0,18914534,-25132.24055,-5263.392082,30395.63263,-431915.6509,-55044.576,1856300.078,167.15196,20.388308,197,220,197,776,197,432,197,497,197,6316,197,369,197,6693,197,79,197,780,197,6658,   
41,-33.121994,20,0,0,260781,0,0,819.35144,0,0,1505415.5,-593.8441442,-745.3146442,1339.158791,-7549.291639,-34155.21007,58461.4044,227.92383,18.663193,2782,2725,2782,2718,2782,2760,2782,2787,2782,2792,2782,2731,2782,6671,2782,2772,2782,2814,2782,2711,   
42,-16.049389,20,0,0,137066,0,0,579.14026,0,0,1158036.5,-246.7294616,-188.1649275,434.8943891,-3764.057929,-2151.040132,22892.80967,234.52968,26.989134,7300,7301,7300,7293,7300,7297,7300,7304,7300,7287,7300,7281,7300,7302,7300,8027,7300,7296,7300,7303,   
43,-746.9086,20,0,0,1233928,0,0,305.81396,0,0,4226110,-6727.033263,-2230.242734,8957.276004,-133209.3324,-25896.10546,357554.1798,178.34755,23.341604,2680,1065,2680,997,2680,5143,2680,5079,2680,5149,2680,5065,2680,5139,2680,5076,2680,5070,2680,5153,   
44,-421.07248,20,0,0,1237793,0,0,301.7646,0,0,3702920.2,-4353.1377,-1052.113379,5405.251077,-77745.14211,-9848.777773,284859.4429,184.636,24.49156,2656,1336,2656,3897,2656,2657,2656,956,2656,1577,2656,1059,2656,2660,2656,1529,2656,1001,2656,1405,   
45,-162.48016,20,0,0,246139,0,0,439.23438,0,0,935286.9,-1376.598831,-524.059987,1900.65882,-31122.76799,-8036.866872,79433.93382,191.54811,23.244062,6072,3828,6072,6068,6072,3876,6072,6056,6072,3014,6072,6022,6072,4051,6072,3003,6072,3841,6072,3823,   
46,-1623.6622,20,0,0,8506681,0,0,245.2271,0,0,39141472,-15831.07086,-5656.214335,21487.28519,-289251.0164,-81040.89956,1786533.451,178.1473,23.575163,2133,2219,2133,5986,2133,2118,2133,2090,2133,2159,2133,6081,2133,2179,2133,6609,2133,6564,2133,6362,   
47,-94.75106,20,0,0,242089,0,0,269.42596,0,0,516129.28,-794.7338628,-438.7398244,1233.473687,-16141.31737,-6421.00405,42047.07998,170.35501,20.401438,7431,8261,7431,7434,7431,7454,7431,8268,7431,8259,7431,8267,7431,8262,7431,7435,7431,8042,7431,7439,   
48,-117.47218,20,0,0,308631,0,0,430.56717,0,0,734974.94,-1426.700486,-495.533343,1922.233829,-23682.06162,-4068.833575,75384.293,201.5972,20.076956,2707,5145,2707,1554,2707,1563,2707,5201,2707,5139,2707,5144,2707,5200,2707,5143,2707,5090,2707,5080,   
49,-46.961914,20,0,0,51268,0,0,431.05005,0,0,167663.72,-599.9845476,-193.7509558,793.7355039,-11485.78021,-2239.257227,30340.06864,244.57649,21.079723,5639,2445,5639,2444,5639,2832,5639,5643,5639,2268,5639,2429,5639,2420,5639,2427,5639,2441,5639,2830,   
50,-459.27557,20,0,0,867828,0,0,267.80722,0,0,3434204.8,-4900.712491,-1610.789662,6511.502153,-88599.74653,-19239.56728,370560.0319,192.91196,21.941376,2220,6020,2220,6010,2220,2208,2220,2130,2220,2165,2220,2133,2220,2996,2220,6042,2220,2028,2220,1939,   
51,-173.17296,20,0,0,139869,0,0,430.4254,0,0,691443.06,-1855.505218,-506.3360692,2361.841286,-38313.63907,-7294.204934,100734.5238,221.24493,26.257402,5288,2892,5288,5220,5288,6002,5288,6083,5288,2870,5288,6001,5288,4065,5288,6082,5288,2873,5288,5729,   
52,-371.83353,20,0,0,655278,0,0,204.37155,0,0,942480.06,-2976.3198,-1237.856467,4214.176268,-43659.09744,-15436.27929,184640.3493,117.41571,16.115639,7833,7464,7833,8349,7833,8099,7833,8394,7833,8140,7833,8120,7833,7828,7833,7461,7833,8338,7833,8304,   
53,-127.479546,20,0,0,238857,0,0,300.97736,0,0,1017796.44,-1650.153243,-1011.795093,2661.948335,-26353.04451,-12356.76463,149824.7547,206.72371,25.228296,6748,5675,6748,2716,6748,2719,6748,2726,6748,2753,6748,2737,6748,6749,6748,2749,6748,2743,6748,5676,   
54,-1395.3983,20,0,0,929678,0,0,227.00851,0,0,2953520.2,-10932.89382,-2149.060658,13081.95448,-210095.352,-24703.53736,680012.5973,150.563,14.506726,275,4456,275,778,275,6711,275,932,275,93,275,301,275,60,275,42,275,621,275,27,   
