idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
74,-77.67622,20,0,0,113368,0,0,526.9675,0,0,476898.97,-822.5496702,-410.7976107,1233.347281,-15530.3318,-6032.411805,51677.59791,199.93675,73.9982,5263,2164,2164,6555,6555,6627,6627,5877,5877,5905,5905,6889,6889,6891,6891,6892,6892,7198,7198,6903,   
75,-281.18216,20,0,0,135146,0,0,274.32037,0,0,563860.9,-1910.932201,-552.8526223,2463.784823,-38735.79307,-7092.212541,94048.22665,137.7605,52.956364,4858,296,296,4395,4395,4359,4359,4405,4405,5010,5010,4898,4898,5001,   ,,,,,,
76,-1141.5361,20,0,0,2957623,0,0,298.32697,0,0,11115479,-9872.760354,-4183.094895,14055.85524,-181702.9313,-74209.55679,985148.4055,159.17406,62.07173,2096,2090,2090,2157,2157,2061,2061,2065,2065,5497,5497,5553,5553,5555,5555,3485,3485,3277,3277,4873,   
77,-396.58295,20,0,0,849136,0,0,434.76013,0,0,2603546.2,-3748.281552,-2140.593824,5888.87538,-74635.22427,-27699.94687,279973.9832,188.19576,76.32374,1488,1523,1523,3813,3813,6875,6875,6882,6882,6883,6883,6888,6888,6892,6892,7198,7198,6905,6905,6924,   
78,-100.88442,20,0,0,148801,0,0,353.53186,0,0,829791.3,-679.630923,-337.3976404,1017.028564,-12369.77327,-4838.284302,37627.26073,122.61331,44.250465,8354,8077,8077,8072,8072,8304,8304,8300,8300,8296,8296,8285,8285,8242,8242,8238,8238,8235,8235,8229,   
79,-829.0016,20,0,0,1228929,0,0,285.02853,0,0,4694785,-6722.385414,-2773.747545,9496.132962,-123926.704,-42024.02276,395750.7499,149.4891,65.24194,1176,3074,3074,3115,3115,3108,3108,1267,1267,1277,1277,6620,6620,6362,6362,2017,2017,1924,1924,2192,   
80,-1724.2501,20,0,0,3740093,0,0,265.40198,0,0,20606338,-15430.15102,-5182.405311,20612.55634,-288348.7867,-61933.75455,1159252.04,167.23141,64.05015,5707,1668,1668,2542,2542,2485,2485,2279,2279,2280,2280,5064,5064,2678,2678,5174,5174,1559,1559,1562,   
81,-750.6758,20,0,0,936541,0,0,365.171,0,0,6022528,-5638.579392,-2007.424974,7646.004366,-118608.2481,-28325.15954,369599.9728,158.00197,60.668636,3606,3556,3556,4657,4657,4603,4603,6304,6304,6280,6280,3366,3366,3713,3713,3711,3711,3676,3676,3500,   
82,-504.24677,20,0,0,345482,0,0,137.28708,0,0,739609.1,-2779.268751,-1338.908602,4118.177355,-44686.23607,-17626.77035,169849.6206,88.619774,39.96147,4268,1904,1904,1834,1834,5611,5611,5576,5576,5574,   ,,,,,,,,,,
83,-870.71106,20,0,0,1209372,0,0,223.28854,0,0,5225889.5,-6720.878968,-1884.684247,8605.563214,-125231.3232,-20146.45487,613645.0726,143.82649,58.476543,3429,513,513,139,139,4952,4952,3328,3328,5014,5014,4913,4913,5029,   ,,,,,,
