idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-47.85248,20,0,0,50378,0,0,68.50437,0,0,422209.2,-137.03317528101218,-67.52996174864961,204.5631371068507,-1409.00266379908,-554.8572051523956,10919.15786988285,29.444715,29.444715,   6678,3608,   
1,-389.7701,20,0,0,1348306,0,0,617.21136,0,0,4360510,-5012.650808073649,-2198.68403998921,7211.334847177602,-89800.59115818467,-36938.95489877902,490347.31541812164,230.39374,87.55147,   2900,6343,   6343,6380,   6380,6367,   6367,6614,   6614,4550,   4550,7117,   7117,7103,   7103,7100,   7100,7040,   7040,6957,   
2,-776.8823,20,0,0,1339870,0,0,311.17545,0,0,6069684,-8260.547124509376,-3569.515395174371,11830.062521574537,-156758.9532714354,-68138.04964746334,724458.0547088794,201.77954,78.46211,   1920,2039,   2039,6354,   6354,5539,   5539,5549,   5549,3476,   3476,3289,   3289,4884,   4884,43,   43,87,   87,4980,   
3,-105.12419,20,0,0,874775,0,0,485.18158,0,0,6143992.5,-1280.9725905495684,-1883.1482491735987,3164.1208412926103,-23279.712238610857,-77652.78021562302,255268.24792973069,221.44963,74.37607,   2855,5779,   5779,5353,   5353,5337,   5337,5333,   5333,5305,   5305,2803,   2803,2789,   2789,2760,   2760,6748,   6748,5677,   
4,-628.46796,20,0,0,590114,0,0,319.44263,0,0,3051175.8,-5519.225948467588,-2290.415545159239,7809.641497015164,-104490.19171197749,-27695.880196285372,404506.8180761324,166.26176,62.064613,   1667,1625,   1625,1623,   1623,2397,   2397,1062,   1062,1110,   1110,1120,   1120,2666,   2666,3804,   3804,6874,   6874,6877,   
5,-99.693245,20,0,0,240709,0,0,453.04526,0,0,1594793.5,-1035.2316263158732,-584.624856203626,1619.856485265901,-17258.55429483053,-8154.075809298904,43544.6715606906,173.1166,57.092167,   4231,1812,   1812,1831,   1831,5582,   5582,5606,   5606,5592,   5592,5575,   5575,5580,   5580,8243,   8243,8245,   8245,7488,   
6,-179.78908,20,0,0,300627,0,0,538.3982,0,0,1259447.6,-1800.8418079609553,-748.0946971819976,2548.9365117742796,-37850.25981557278,-10569.347009063795,174846.00188373766,210.52592,83.45079,   4988,6231,   6231,6229,   6229,6280,   6280,5842,   5842,5848,   5848,5870,   5870,4542,   4542,4537,   4537,4550,   4550,2976,   
7,-868.78796,20,0,0,866026,0,0,370.32828,0,0,4353785,-8489.102344999916,-2677.3392250788197,11166.441563669448,-174229.34417352985,-40891.762721208484,783418.2292088821,200.543,81.57095,   3350,153,   153,670,   670,258,   258,3688,   3688,3677,   3677,5800,   5800,5856,   5856,4540,   4540,4524,   4524,4523,   
8,-416.73972,20,0,0,501528,0,0,495.26825,0,0,2402396.2,-4494.565879781846,-1845.9362503831208,6340.502130689716,-92871.08308818957,-31662.87489266031,334283.3194852817,222.85153,87.81843,   6351,5264,   5264,6777,   6777,2867,   2867,4052,   4052,1762,   1762,1600,   1600,2461,   2461,2409,   2409,5638,   5638,5659,   
9,-715.63104,20,0,0,1121151,0,0,333.39932,0,0,5300240,-7577.624214426257,-3373.337575582752,10950.961786508718,-145922.6143084504,-64219.66118234313,510678.3702653811,203.90761,78.72682,   874,4872,   4872,3276,   3276,3485,   3485,5542,   5542,5494,   5494,5221,   5221,5214,   5214,5781,   5781,5701,   5701,5754,   
