score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-994.1122,5775.4243,283.17545,1523,11.496166,-8048,8049,8066
-994.11084,20978.207,1203.1549,3000,21.19431,8106,8107,8403
-994.10474,11384.008,483.12976,1430,24.103495,8377,8378,-8433
-994.09937,11157.052,785.50415,1824,18.503422,7481,7482,-8329
-994.0993,9939.063,775.4034,1774,16.947836,8340,8341,-8391
-994.0948,10030.183,248.09848,1000,30.317785,3611,3612,-5528
-994.0857,5475.1973,526.76996,1112,14.859839,-287,415,919
-994.063,24030.145,1295.298,3000,24.081923,8365,8366,8389
-994.0599,14095.189,1201.1458,3000,14.118135,7790,7791,8082
-994.0585,6703.881,520.83856,1230,16.373688,-8140,8141,8211
-994.058,13685.164,457.04166,1346,30.541733,8379,8380,-8398
-994.0512,13620.878,777.9436,1745,23.420908,8139,-8406,8433
-994.0491,4083.5505,156.40965,143,85.65239,-8224,8225,-8376
-994.0377,19799.848,508.21112,1000,59.27511,-8280,8281,8418
-994.026,7004.2363,715.7003,1732,12.082911,7875,7876,-8136
-994.0224,7628.2534,462.27267,1000,22.778316,4797,4798,-6186
-994.0192,23865.64,1084.2096,3000,23.74207,4410,4411,4436
-994.01794,8699.379,499.5716,1276,20.34292,-7893,7894,8084
-994.0165,21549.078,1208.4244,3000,21.427687,7673,7674,7697
-994.0109,9288.117,774.26434,1000,27.681597,-7336,7463,8202
-994.00854,12644.295,338.37262,1000,37.66926,7976,-8197,8379
-994.00696,3257.0308,229.2694,578,16.783003,-7474,7475,-8187
-994.0061,6719.0405,300.99677,797,25.105328,-8351,-8352,8400
-994.0039,8012.9673,641.5172,1761,13.545371,7593,-7594,7993
-994.00183,10048.252,366.1189,1000,29.901615,8204,8286,-8361
-993.9966,11709.729,700.19257,1523,22.859835,8306,8307,-8423
-993.9962,9020.303,567.52844,1504,17.83094,7610,-7611,7654
-993.9834,13907.738,270.9666,1000,41.260254,-8312,8313,8376
-993.9782,8953.458,411.68875,1000,26.539433,-8340,8341,8401
-993.97565,25971.316,1065.9551,1740,44.22407,8240,8326,-8430
-993.9686,27866.254,1423.3191,3000,27.489336,8284,8356,8407
-993.9661,11531.887,631.7448,1480,23.049772,-413,414,3421
-993.9631,10683.439,724.4598,1702,18.559282,-7454,7455,8346
-993.9614,13061.575,818.23737,1884,20.493021,-7853,7854,8364
-993.96027,12910.715,729.8552,1942,19.647518,-7669,7670,8418
-993.95874,17015.361,1332.6606,3000,16.757797,8355,8356,8393
-993.9386,10355.754,588.8779,1000,30.495192,8312,8313,-8414
-993.9351,4798.8003,261.20612,1000,14.12328,8187,8188,-8320
-993.9329,624.9551,-22.559923,44,41.78692,8067,-8068,-8121
-993.9326,9816.963,675.65765,1652,17.481943,-7786,8124,8187
-993.92175,16023.917,804.6701,1520,30.958014,-8188,8189,8284
-993.91754,18348.375,1432.7336,3000,17.948233,8337,8338,8391
-993.9143,10581.538,486.53433,1000,31.035833,8043,-8044,8401
-993.91144,16348.379,1293.0063,3000,15.975887,7817,7818,8093
-993.90155,21617.29,1300.9395,3000,21.090446,2286,2287,5063
-993.9005,13689.738,1133.9495,3000,13.353771,7600,7601,7995
-993.90045,19562.889,1240.3917,3000,19.082556,8138,8139,8211
-993.8934,23036.102,1299.4835,3000,22.444443,1661,1662,2507
-993.89233,19148.387,1256.0209,3000,18.653442,8132,8133,8317
-993.8887,1021.8804,19.496454,-63,47.374763,-7438,7439,-7647
-993.8848,4181.752,184.30142,419,29.131296,-7990,-8299,8424
-993.8831,13535.88,513.51056,1000,39.498386,7705,7706,-7831
-993.8753,824.93463,-23.271637,-41,58.637497,-8171,8172,-8318
-993.87177,22226.75,730.70447,1327,48.786068,-8382,8383,8430
-993.8602,14246.299,739.58905,1660,24.949839,8295,8296,-8417
