score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-10.411565,40,0,0,23132514,0,0,817822300,-3227.8752035390567,-1547.0997693436573,4774.974973093068,-61072.6338934267,-46334.58059653724,1256519.9979137992,5865.8457,278.75137,   527,2486,   1581,2782,   7746,5450,   265,4329,   250,5430,   6161,2965,   8219,710,   2109,4661,   5820,6104,   728,4751,   7327,6303,   8300,7294,   1249,2419,   8263,2607,   2223,7441,   129,1564,   5275,8123,   3387,7988,   1113,4755,   4045,817,   
-76.480705,40,0,0,35555420,0,0,1.042382E+09,-20167.944989006133,-6795.290293877007,26963.2352776986,-336507.258328764,-88491.4730771439,7187510.505994808,4399.8975,243.02191,   6047,2657,   1043,4082,   5489,1841,   6485,6396,   496,3349,   7540,3199,   4147,5674,   162,2660,   2622,2723,   1533,5326,   5622,6094,   2106,1244,   5301,4596,   6126,96,   5758,2557,   3547,1064,   2058,8347,   7139,4670,   5260,4218,   1804,7843,   
-9.040297,40,0,0,30821098,0,0,928383600,-4135.971121191211,-1231.3353408475286,5367.30646267274,-63750.14557130487,-16143.639071264768,1728729.9636242867,7051.776,301.7733,   4370,1867,   2110,7309,   8336,5365,   5365,6826,   5853,8036,   7960,727,   3222,7155,   3631,8389,   550,8234,   7216,892,   4151,6389,   638,6375,   8238,6475,   1141,4235,   6970,3928,   5835,6839,   918,2126,   955,3754,   3983,3232,   1343,8372,   
-33.19656,40,0,0,16534277,0,0,513502020,-8087.712059279997,-3360.419155472918,11448.13121224604,-123556.90293355375,-44868.279450822774,2713917.4538639067,3721.9792,246.21002,   7179,6525,   571,5030,   5627,5156,   6278,3338,   4716,7186,   4119,5462,   5437,912,   3691,6416,   1229,4171,   7507,1861,   4223,1617,   1066,4031,   3328,6961,   5908,1096,   6200,8312,   4405,5754,   6890,7279,   2149,6062,   5817,4043,   748,3081,   
-9.47228,40,0,0,30412062,0,0,861946900,-2534.951095918283,-834.5940894919011,3369.545183984984,-46380.24760829551,-10871.584536736944,1092369.0017209258,4896.4185,276.8316,   196,6238,   7955,8219,   8245,373,   1402,5,   6870,2975,   2525,8248,   4160,7918,   4148,5561,   5458,4976,   1702,7101,   7683,5182,   5574,4840,   2781,6801,   7008,6594,   7199,6064,   598,5621,   3423,4426,   1664,6421,   2098,1282,   4222,2954,   
-55.474068,40,0,0,24231405,0,0,667418500,-16035.018710615024,-4435.951080832481,20470.969771165343,-242907.9210991456,-49129.221223787514,3099203.5917110327,4378.765,230.07951,   5559,5902,   2661,3224,   5786,4593,   1593,7407,   3130,5023,   603,841,   2341,2082,   3833,3450,   663,3115,   5438,1443,   1801,3243,   1242,806,   2377,5340,   4825,8170,   6253,6163,   3462,4175,   754,7183,   1541,1780,   2521,2350,   7489,6623,   
-61.716442,40,0,0,27796787,0,0,653254600,-16959.765085724408,-5043.010915267227,22002.77599681506,-276636.84367068484,-59750.664550869435,5494658.862447018,4482.385,263.69376,   5207,8036,   3463,2176,   5460,8192,   3280,1340,   592,6650,   5757,7419,   4280,2778,   1153,2316,   4660,1855,   847,446,   8204,1858,   1154,5403,   1560,4864,   87,3593,   540,2052,   928,6749,   4061,7250,   4672,2200,   8216,7502,   3781,2620,   
-35.883312,40,0,0,20445788,0,0,608609900,-8165.772432383171,-4200.209088653738,12365.98151896606,-149707.38610685966,-76344.40057517645,1863249.0687285266,4172.0615,266.5238,   2060,3484,   7577,8039,   406,4479,   8331,6411,   6029,7661,   5556,666,   1502,7043,   6855,3348,   6882,6496,   615,596,   8105,8122,   800,6975,   5721,7443,   3357,5465,   6542,7389,   2535,5594,   6509,6663,   6822,4719,   2716,1550,   4997,5517,   
-49.504402,40,0,0,25744541,0,0,577216500,-12510.039157441332,-4762.721203029933,17272.760362024725,-209020.45146346724,-89643.11678277253,4434205.4802882895,4222.26,211.58035,   4968,2111,   6000,1314,   4932,262,   5246,5454,   395,1323,   3754,1720,   6886,3184,   2950,2374,   2684,602,   2317,1398,   1121,2865,   8305,7076,   5126,8397,   2592,3275,   221,2135,   631,5331,   1498,3534,   4063,5993,   2121,7921,   2043,5459,   
-27.266508,40,0,0,16344923,0,0,494170720,-7456.069012280179,-2951.0721573461874,10407.141169973162,-128845.9019327508,-44025.230268100124,1951098.9609056918,4725.4272,228.75705,   2197,6339,   5070,5219,   3634,815,   7144,3325,   3712,4448,   2035,2114,   7669,3599,   4395,2103,   2242,7359,   4624,4971,   6105,1970,   5233,6695,   691,6859,   221,3352,   7556,5393,   252,3198,   6994,5294,   7636,3218,   6230,3085,   3442,4310,   
