score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-33.95059,40,0,0,23162285,0,0,870747800,-7904.339467110924,-3677.7787676347157,11582.118243061897,-147207.70306549425,-63536.37674843719,2342062.5289663128,4335.9395,253.52394,   6101,6905,   2572,6281,   2918,4675,   6795,3961,   7727,1176,   6622,3980,   4398,6406,   5959,5119,   7106,2060,   652,3482,   8306,8329,   6380,1811,   6356,3016,   8104,8242,   443,7536,   2857,826,   2061,1616,   4346,3358,   6459,1956,   1081,4715,   
-87.42649,40,0,0,22479056,0,0,399931780,-19316.614044506474,-7251.800113340266,26568.414162119636,-311040.10726916575,-89122.17037286526,4852370.498195675,3557.7327,214.45848,   600,7028,   1168,231,   6323,138,   1060,737,   7172,2053,   5672,28,   5587,1463,   1967,6208,   525,761,   8361,8338,   5007,6989,   3517,191,   6754,5795,   1918,2782,   2060,2601,   7096,5149,   979,4373,   2881,1278,   7160,6148,   3923,6217,   
-72.52671,40,0,0,26714224,0,0,717261760,-18918.08682030854,-7654.899797379496,26572.986618987274,-324433.7215735858,-100968.47149378237,4568891.966703213,4473.3,244.08038,   1955,7366,   1070,6826,   1864,2829,   3674,597,   8084,6573,   2833,5697,   2031,1179,   8143,2047,   3511,977,   1912,528,   6655,6714,   7113,4570,   3393,522,   7485,1214,   7018,689,   7483,2812,   5273,2143,   6382,6077,   5918,5127,   6762,3925,   
-54.823433,40,0,0,41121831,0,0,1.0916376E+09,-18222.20701345683,-6067.396406635733,24289.60341960137,-270589.3839335633,-55345.236875567774,4246610.661408795,4935.652,242.06404,   2121,1321,   3133,3922,   8203,1398,   3118,8236,   4665,834,   6203,6183,   4236,3395,   7998,3677,   253,4935,   3433,1341,   3779,2459,   2014,7395,   7525,20,   424,8324,   3232,2066,   4564,6820,   2650,6422,   6843,5334,   3581,3190,   4803,1995,   
-17.22162,40,0,0,25711961,0,0,937469700,-5322.1451165507615,-2080.7270131334017,7402.872131687773,-102325.61596580246,-36847.945286775146,1269211.0879060507,5941.695,263.0991,   5839,7685,   4985,6184,   2922,1300,   7012,1878,   2581,2705,   5823,983,   1693,5421,   146,8097,   7742,4174,   4832,8182,   973,3230,   5003,2598,   4705,7819,   3533,6249,   4988,2664,   96,5498,   132,1438,   3937,4529,   5910,4266,   4472,6225,   
-50.0875,40,0,0,25609337,0,0,812848700,-12831.89522089144,-3628.8752017402408,16460.770422055313,-205922.0013701372,-43353.31841863394,2519395.654371697,4111.245,228.76353,   1444,6982,   5742,527,   4678,3581,   5126,5665,   6276,7181,   6027,7843,   6793,5056,   1021,2609,   2682,2386,   1478,3539,   6202,762,   5325,8353,   2608,325,   850,255,   1483,4052,   2186,3475,   8137,7043,   6737,2427,   5923,4475,   6355,1124,   
-30.242056,40,0,0,32838346,0,0,1.03646426E+09,-8762.830157972114,-2944.930941384249,11707.76110597636,-162717.45827745937,-54479.05678242516,2612616.428691488,5380.5024,245.00969,   2692,6304,   8408,6242,   5072,689,   7140,3512,   417,1328,   1847,3523,   2788,933,   22,682,   1656,5825,   6354,4353,   2730,4871,   4181,2224,   4995,2551,   8141,8186,   6754,7029,   5122,6642,   4467,353,   846,8334,   789,7518,   3280,1919,   
-32.442905,40,0,0,26615442,0,0,713254500,-8206.64795100629,-2246.4771297856296,10453.125081594664,-139371.407321932,-26140.02639058695,2064660.3786247717,4295.898,238.22156,   1620,5774,   8274,154,   2204,7098,   687,7203,   7020,6055,   770,97,   6556,2001,   6829,6257,   2122,6184,   1247,2520,   983,7390,   5194,1823,   4642,3640,   7492,2434,   86,124,   8328,2573,   2545,4435,   2733,5392,   5033,4027,   19,6332,   
-85.47335,40,0,0,38198902,0,0,1.048006E+09,-17608.026574647683,-5115.642873608585,22723.669445525393,-292073.69850224076,-51951.155273419026,6685602.129713703,3417.1316,228.73462,   1864,938,   1165,698,   6259,5024,   85,2465,   1959,3025,   6212,3041,   6271,759,   935,2665,   580,6450,   3948,7000,   8042,6688,   7117,6896,   6162,6633,   5988,2121,   7704,1437,   1223,6531,   6165,3351,   656,45,   6225,4495,   3999,8054,   
-48.95578,40,0,0,29223069,0,0,769815000,-11669.509675556892,-4156.73486442538,15826.24454382274,-199592.52083399016,-60536.43159741645,3438065.6014701542,4076.9958,216.8832,   3555,5027,   474,5496,   2348,5287,   4738,1785,   3499,67,   4812,7018,   78,1455,   6725,3611,   2256,2705,   2971,8061,   7471,6400,   3196,522,   1802,8116,   5312,2919,   103,890,   4876,4520,   2451,4330,   3444,3015,   6214,1620,   4547,875,   
