score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-18.706606,40,0,0,23393955,0,0,688629500,-6141.636276175922,-1934.3328931696292,8075.969170674049,-104890.1187190766,-20811.259773615773,2120925.5436284803,5607.1167,295.43146,   5140,4889,   7749,7216,   7294,961,   6592,221,   2250,278,   3818,2210,   6553,3356,   948,4495,   6054,8156,   4292,7568,   8175,8188,   2123,6272,   6459,1384,   5234,7447,   1507,6636,   3244,6152,   1258,3702,   8331,390,   8045,5012,   5674,4287,   
-28.568727,40,0,0,26743680,0,0,720291800,-8371.704268970352,-3597.5360362368333,11969.240307203527,-155825.89273354653,-67776.63429292101,2415098.91092655,5454.422,264.17905,   6741,800,   5829,7473,   7346,7752,   1992,2843,   6151,378,   344,2404,   2643,1908,   7935,5388,   2766,1477,   757,5909,   4163,7580,   7150,4050,   5469,6102,   951,2851,   3461,557,   4885,1041,   2481,5,   827,7375,   2359,3085,   7362,7142,   
-26.877024,40,0,0,39873977,0,0,1.1809363E+09,-9519.61879569461,-2842.747250884183,12362.366043065289,-148943.3797618758,-26189.602862606727,2171021.6679924396,5541.6616,276.4128,   7827,2390,   1295,1129,   6291,839,   3508,7785,   4202,2943,   6060,6568,   4254,8200,   124,7596,   2085,1778,   2004,1243,   6801,7577,   7818,5594,   3928,7738,   8359,2638,   1080,560,   3029,8116,   2551,2050,   6518,1772,   6284,6021,   6194,4629,   
-91.02096,40,0,0,25712921,0,0,694818000,-22824.435980148406,-6728.000983987377,29552.43696903324,-373043.43382590776,-88651.99631734223,3846722.265466019,4098.4346,215.14352,   2594,1601,   7084,517,   2932,6753,   5223,2716,   8316,1667,   5289,580,   1081,6118,   341,250,   3008,4137,   5636,6988,   915,869,   6705,3642,   8350,6380,   4017,2203,   1682,6788,   1311,4500,   4020,5810,   7085,5199,   492,7300,   2661,5611,   
-28.08127,40,0,0,24314569,0,0,998217800,-8354.7000629486,-2274.440892433952,10629.14095371457,-140466.0022442589,-26821.49661696906,1354875.3617306754,5002.124,258.57983,   2515,5643,   2758,7849,   3706,2448,   7035,4868,   1709,6267,   7199,2147,   384,7641,   3713,1724,   3332,3441,   603,4988,   2735,3019,   1033,1528,   355,788,   4996,3706,   7468,3578,   8194,4144,   1475,25,   4473,3708,   6547,7291,   8371,5901,   
-11.534311,40,0,0,21163209,0,0,551120060,-2657.1925615711816,-900.1103453307139,3557.302907668813,-46855.97166085739,-12453.01604987459,691027.2178030391,4062.3123,277.38278,   7781,7584,   494,3851,   8024,7599,   4116,4814,   2096,5361,   1866,5486,   6696,6109,   2875,7932,   4609,1229,   7493,2918,   5888,3328,   5835,6567,   6509,3055,   672,359,   3168,5,   3612,4476,   3506,3138,   5643,3586,   2524,5618,   1940,1191,   
-32.015003,40,0,0,28078897,0,0,755716740,-9831.702958212793,-3210.9526825809307,13042.655639361137,-166287.0771068884,-36764.48998235901,1946790.2171075607,5194.036,230.5455,   5108,182,   1610,2107,   1711,2707,   5883,3802,   5586,4977,   7534,5318,   8233,5453,   13,4452,   1749,2363,   1749,5826,   5777,4968,   6927,3757,   1646,2091,   1980,3558,   465,7724,   5407,7427,   7725,6302,   6246,5706,   1718,3727,   4855,3801,   
-94.71718,40,0,0,33835126,0,0,1.0975082E+09,-25000.230683405614,-7927.588214203411,32927.81889265193,-464549.58018641133,-89677.82611887368,4892446.990742757,4904.597,283.4423,   5608,5306,   3209,6627,   906,6730,   4678,6488,   3124,1190,   1837,161,   8276,5407,   2700,1351,   6971,7955,   358,4321,   727,2324,   3336,6297,   8005,107,   6028,1931,   7643,2742,   2734,6457,   5943,1976,   7796,1621,   548,3454,   1184,3454,   
-50.899082,40,0,0,27319615,0,0,903587800,-14757.523960450193,-5348.865129247733,20106.38909154589,-232440.8824305399,-64630.7057673961,3431156.9712939886,4566.7007,234.63538,   1146,3927,   433,7710,   5887,5246,   7586,2318,   3601,4895,   7170,2199,   3369,533,   3074,3283,   1969,5347,   7057,798,   701,2747,   7281,382,   6892,3815,   2653,6299,   6046,1079,   802,3517,   6770,5339,   3174,5235,   1891,4062,   409,2759,   
-39.18916,40,0,0,23325994,0,0,533806300,-10131.855872085194,-3486.5332311610837,13618.389103833722,-179800.79559005948,-49969.84722657671,3665289.046133342,4588.024,217.27582,   956,3710,   6765,2747,   4008,535,   3088,5409,   7338,4513,   8087,3636,   4833,385,   2753,6835,   5082,51,   818,2071,   2592,1286,   4707,2522,   4092,3653,   3864,6465,   5795,6274,   1391,6343,   4937,4298,   8278,5427,   4417,4533,   4809,6356,   
