score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-78.011375,40,0,0,27251563,0,0,584681800,-21070.463945638057,-6392.620416036191,27463.08436385653,-344452.89849980496,-76509.56778603791,6591033.867769267,4415.419,241.84523,   6329,1516,   4654,4150,   4597,2411,   7399,2759,   2175,5799,   2163,844,   4791,443,   8399,7843,   3042,8289,   2297,3300,   2096,877,   4523,5572,   3219,1522,   1338,7151,   7375,4209,   1030,1412,   3319,1104,   4277,7097,   5169,2601,   7663,1765,   
-33.763035,40,0,0,33602689,0,0,1.1801998E+09,-11070.016212790384,-4000.749720042506,15070.765929788213,-179570.1525025165,-59782.05819103682,3521966.759485257,5318.543,241.56895,   5613,859,   2812,4223,   5713,2712,   1853,5718,   5019,1364,   8415,7025,   554,8385,   4411,5451,   5428,7517,   931,3075,   1072,248,   3819,6401,   4769,751,   5961,3686,   4602,1302,   2674,441,   626,531,   6122,1237,   6500,300,   8294,506,   
-28.128803,40,0,0,28188513,0,0,942725950,-7229.638338757954,-3553.948094660128,10783.58643097581,-133410.43057782014,-103591.19368666451,1796378.2318058452,4742.841,247.3267,   8104,4055,   2131,6010,   4230,2440,   857,3370,   5129,7261,   1668,6087,   1670,4587,   692,5365,   5475,4847,   7890,4962,   5187,6602,   1116,3716,   7126,7974,   6399,23,   2262,3174,   7387,5128,   7659,424,   3406,5453,   6552,6245,   2170,2328,   
-21.333313,40,0,0,16976193,0,0,569741250,-6917.597250317357,-2114.0760081546428,9031.673262317605,-122806.42167140865,-27035.307723634338,1233724.3218870927,5756.5566,281.2332,   8329,2590,   6993,5777,   8070,5023,   7206,4474,   8275,756,   4197,1652,   846,3332,   3754,1501,   2939,6850,   7319,4691,   4477,834,   1107,1954,   8309,4976,   6864,1245,   1180,3675,   7249,7665,   2676,5561,   5068,2597,   8045,3775,   4082,2103,   
-29.12769,40,0,0,39161149,0,0,1.2019895E+09,-10905.296116282096,-3302.0933532028157,14207.389470986149,-167406.95045141317,-32342.732261292203,5387013.061295579,5747.3477,279.9882,   767,1924,   184,1506,   7412,5734,   4282,4327,   5106,1905,   2514,8137,   7361,5915,   6286,7495,   1483,5039,   5903,3094,   6594,5961,   3294,4599,   1943,4967,   7411,3720,   6700,1157,   1892,7600,   2768,5216,   3924,2553,   650,8036,   2977,2574,   
-32.91304,40,0,0,35489078,0,0,920908900,-8772.825420855173,-2898.414788747483,11671.240207435409,-157891.00119726764,-41592.25920927263,3342190.6557226772,4797.2173,225.18108,   693,2537,   4575,7711,   1161,7547,   304,5197,   7710,6008,   1113,3005,   6307,988,   3944,3242,   7066,4020,   7999,2445,   6759,561,   6062,3948,   12,3349,   5369,2145,   1991,3733,   6845,1882,   2061,3328,   2400,4057,   1385,4018,   3438,2831,   
-25.266418,40,0,0,24145638,0,0,883388160,-7920.812500225564,-4537.35282634836,12458.165320767224,-134160.8916044472,-82278.33511317876,2280458.2473155186,5309.85,267.69238,   4663,2213,   4445,691,   43,7322,   1292,1779,   1272,681,   3922,5065,   37,532,   4251,131,   4910,626,   7698,6247,   2178,6594,   3206,3977,   7598,7666,   944,2979,   7024,8322,   1857,3047,   581,5168,   6217,4545,   4552,5371,   3904,1126,   
-13.575262,40,0,0,30626210,0,0,1.0946957E+09,-4422.614213093105,-1614.7441701366276,6037.358384273587,-73024.34476096324,-17766.95610034564,2193443.8350741495,5379.2217,269.63144,   2057,3589,   873,1309,   8246,1779,   1845,1528,   7512,2268,   7583,758,   4755,5627,   652,6504,   7443,468,   1529,813,   6378,6748,   3191,1385,   7260,875,   4484,3304,   2750,8142,   4015,7974,   5157,6572,   4189,7024,   5721,1896,   4166,5818,   
-19.462431,40,0,0,25729280,0,0,925255550,-6722.230869265297,-3425.238040725419,10147.46891095541,-111194.57916994089,-62571.32035497141,2183436.4625209635,5713.2935,275.149,   5821,7851,   3902,4755,   738,1098,   6728,3389,   4515,8149,   5538,4084,   3842,3091,   3183,3745,   398,7923,   2485,7371,   5731,6976,   7214,7806,   6689,8044,   4037,6618,   1438,2064,   782,5546,   4738,4146,   3427,6962,   2845,6871,   646,6162,   
-36.288204,40,0,0,28946879,0,0,787691700,-12473.136689353934,-4457.206595557717,16930.34328198513,-204260.23899507188,-55934.87044899287,4321433.78321919,5628.833,297.2933,   2582,1094,   7225,3037,   2604,8366,   4132,2065,   3389,443,   6626,6234,   7847,5230,   87,7280,   637,4532,   6502,1130,   5497,110,   1951,2451,   7366,8428,   7782,8131,   8100,4657,   899,1962,   7276,4759,   4789,4636,   8187,4176,   5202,6758,   
-8.555949,40,0,0,23885013,0,0,899827900,-3499.6455170620134,-1967.6726025427229,5467.31811602636,-59981.080855080654,-37055.84438299331,1428377.2731240308,7010.4536,301.78406,   3911,1971,   3229,994,   3874,2984,   6134,7943,   4058,4583,   6325,6749,   369,7952,   665,2472,   7579,4773,   4107,2612,   584,4437,   2401,7167,   7980,4663,   7393,3088,   440,3887,   7529,4896,   7765,8180,   5654,3525,   5316,956,   7013,4381,   
-10.933992,40,0,0,31514910,0,0,994385340,-4089.9176634858245,-2650.9762166692335,6740.893880128021,-72254.06247309441,-61526.33257931636,1093190.0380269147,6608.205,279.20642,   2293,8274,   4072,3517,   6768,2586,   1593,7760,   4093,2316,   5492,3413,   69,2590,   6173,7910,   8005,4497,   1450,7647,   4027,3046,   7503,171,   5489,1428,   7419,625,   2298,5575,   5591,6623,   6196,8161,   318,746,   364,7320,   399,5393,   
-14.682475,40,0,0,32996463,0,0,1.2053596E+09,-4985.265812754628,-1712.0147309307927,6697.2805410353385,-88029.43915097548,-21309.55780122571,2318033.9823016967,5995.545,293.37137,   3069,8069,   7430,6559,   6830,4115,   4827,5175,   2006,6179,   3956,819,   7941,7802,   354,7682,   771,3901,   6463,5339,   3602,968,   5461,6954,   5161,7305,   5653,343,   2271,5427,   7546,684,   4098,4492,   4577,4393,   4052,943,   1777,1374,   
-48.989857,40,0,0,41180861,0,0,972746900,-14375.1965335206,-6613.842700009274,20989.039238991492,-254344.54989907137,-126881.73389712899,4965366.122919029,5191.78,238.09311,   5037,2244,   7054,4554,   1619,4772,   7117,6830,   7807,1071,   8410,4899,   857,3495,   1790,2101,   2607,475,   1398,7961,   6898,4483,   2903,5014,   7069,3271,   5157,3448,   3224,4396,   3630,8264,   2123,5088,   302,1358,   2349,907,   5335,388,   
-36.20733,40,0,0,25673167,0,0,926973900,-14105.977152912526,-4954.784762124592,19060.761917877415,-221586.82467368522,-64466.193272540804,5084748.006349063,6119.944,282.7263,   187,7258,   972,1199,   5453,2646,   8263,602,   2701,2476,   1785,3576,   3576,1009,   7980,2251,   2912,554,   7776,2040,   5921,6784,   8051,3668,   3605,3411,   5876,146,   2775,4205,   3193,432,   8187,1700,   7773,8075,   3511,1703,   7997,4422,   
-74.44398,40,0,0,29608396,0,0,903981570,-17365.20855329641,-6310.267146928714,23675.475704925975,-302994.0191361314,-87776.22767272078,4589834.831709434,4070.0945,208.57991,   3443,4554,   746,748,   2610,54,   283,8308,   2175,8183,   2018,309,   3422,6987,   773,4955,   3652,5997,   3758,5306,   8307,4058,   5844,2269,   2725,85,   8435,6970,   2913,3273,   5478,6072,   2479,1498,   3340,3496,   2921,2857,   800,5822,   
-34.35493,40,0,0,24873459,0,0,546523840,-9449.546531550059,-3328.47701736389,12778.023548021254,-157047.81775403678,-52402.66830667053,3742743.915347826,4571.3325,229.40813,   8298,2903,   2029,3445,   2029,2398,   6849,7878,   6714,5025,   236,2818,   4422,5950,   6380,2690,   4551,7821,   7146,6913,   6459,2525,   55,1748,   5394,7338,   2705,4382,   6265,1924,   3646,5712,   2033,795,   5196,6372,   5443,5404,   3855,3282,   
-27.984856,40,0,0,29851147,0,0,847567740,-5742.631230651421,-3157.201579212317,8899.832806263721,-102488.13716520146,-92541.71311985061,2050613.7251383143,3662.2715,263.17578,   1807,3410,   6734,94,   7286,7964,   8127,8224,   5382,3955,   4786,4444,   4834,6711,   5767,6550,   5944,3126,   740,2467,   1612,4790,   1379,2959,   785,3626,   753,8,   5682,7583,   5792,4747,   3057,3176,   717,5080,   3450,5300,   51,3176,   
-32.76989,40,0,0,32743470,0,0,866125950,-8362.776920092709,-3170.6824221408697,11533.459340727506,-149741.82406588108,-48337.85009809287,2952742.5095223817,4569.4946,272.97836,   4690,6476,   4977,8127,   926,6025,   4397,6921,   605,7329,   7896,7338,   1657,1388,   1670,5452,   2030,3774,   7745,3659,   7210,8119,   2542,6235,   6598,38,   1386,1657,   5993,686,   3100,643,   3075,6000,   6213,3571,   8248,1687,   2033,3196,   
-9.357374,40,0,0,49111283,0,0,1.4221393E+09,-3394.1686169140603,-1053.8036860285224,4447.972302416467,-55524.26198448016,-10411.42316760812,1776758.5305547426,5933.744,300.68457,   7665,2268,   7838,6789,   8123,6889,   3090,1669,   1505,3701,   3050,8111,   5990,4827,   4401,5007,   3934,7177,   1528,888,   4638,2739,   927,8355,   4229,7252,   4263,4093,   3610,6535,   5639,343,   1740,4549,   4430,4942,   280,4188,   6548,8144,   
-12.063163,40,0,0,37417914,0,0,1.1650451E+09,-4175.562833449968,-1572.580233498872,5748.143066610456,-75808.88280881713,-19810.760369300126,2029215.1367554825,6284.329,271.90234,   5384,8153,   152,2292,   6072,3424,   3088,6683,   1598,1205,   8072,1071,   159,1145,   6993,4926,   1340,7919,   2560,870,   2626,7432,   6494,3406,   6497,2706,   6371,1441,   397,7895,   4726,8181,   629,1819,   3940,4920,   2587,7071,   2283,805,   
-49.290676,40,0,0,14253238,0,0,457330050,-11130.740566437249,-2976.382034844797,14107.122601142133,-191946.28810925325,-41410.68148767959,1492519.1375309483,3894.1702,223.86783,   4163,6015,   2495,2405,   6898,4568,   183,595,   5991,7939,   3601,797,   1628,5677,   5518,6387,   1659,5181,   4231,3365,   5488,1647,   6285,2138,   4914,8326,   441,6775,   5641,2073,   2339,2705,   5636,1754,   5143,5046,   4937,4089,   4944,1928,   
-24.00281,40,0,0,36507812,0,0,970728400,-7479.3204724665275,-2478.9772701530583,9958.29774305171,-128891.86749699562,-44073.586356510896,2226079.2504920764,5369.8657,257.92703,   2523,5775,   3886,893,   4293,3929,   6553,3387,   4737,5988,   3260,5841,   2840,7353,   3752,2516,   8166,356,   5926,7007,   4127,1843,   3389,3917,   5600,896,   3596,8310,   534,471,   1449,6006,   237,2303,   842,8149,   6196,5392,   6280,985,   
-24.278631,40,0,0,31442071,0,0,1.01226234E+09,-8281.313511091614,-3085.747366167649,11367.060874458015,-125455.63223112923,-33684.375463371376,2546124.4252339657,5167.327,236.27762,   1773,5489,   2038,8088,   7248,4933,   8300,6718,   6438,2626,   5316,4581,   6598,6372,   6236,679,   2386,8404,   3728,3397,   332,6679,   2853,4265,   4539,5690,   5604,537,   6511,4039,   4755,2773,   2511,4940,   5233,7073,   8241,3737,   5104,666,   
-46.71885,40,0,0,37172627,0,0,1.0520091E+09,-12818.504823687232,-5705.874399150341,18524.37922807223,-203909.36970624345,-78973.45753128268,3337272.0387531384,4364.606,236.60721,   1031,5314,   1871,6343,   3590,5304,   7843,2300,   4502,162,   5762,6227,   1663,2883,   652,3530,   2636,6209,   3549,1558,   7765,7763,   206,2398,   6307,2543,   2069,1657,   1139,7599,   874,7084,   3299,3061,   2365,3454,   4807,4945,   675,7670,   
-37.751465,40,0,0,27488005,0,0,647721150,-12059.1290222745,-4239.407390290915,16298.536414279888,-180218.8914617509,-42769.317656788946,4097978.1554156085,4773.825,237.7124,   6282,3304,   4470,6348,   6712,6963,   1109,8063,   4288,1702,   4436,2032,   187,3546,   1337,1703,   5107,7908,   36,1047,   3234,6185,   1160,5339,   7724,7113,   2927,7037,   518,5634,   7159,6127,   5534,4314,   3711,4461,   3293,2293,   4122,7779,   
-25.845894,40,0,0,26623254,0,0,881424400,-9248.979685069264,-4547.154881208846,13796.134552666945,-159574.25382517412,-80428.78218304332,2546509.623835279,6174.066,285.50833,   1433,2441,   5805,7872,   3162,7278,   6897,8189,   1724,661,   6782,5334,   4909,8063,   4435,96,   2143,7567,   7060,8034,   4035,2508,   7545,7090,   2979,6745,   4934,4308,   8270,5312,   6846,2814,   3786,692,   8050,793,   380,1724,   2176,446,   
-10.1062765,40,0,0,37960107,0,0,1.1413532E+09,-3370.4066628872843,-1529.9387527893712,4900.34541715974,-61878.9042797839,-23716.94170305253,1052827.9876804168,6122.819,288.9146,   216,3174,   5313,8293,   7287,1824,   1217,5906,   8315,3615,   2317,4161,   3669,4524,   3744,7361,   3332,7151,   4893,4852,   2344,2588,   8354,4847,   2250,3968,   1548,4217,   13,3642,   8152,419,   5390,6613,   7817,861,   5630,7687,   8238,1155,   
-17.27682,40,0,0,20229487,0,0,638759900,-4460.794958032605,-2761.1421892324624,7221.937147846781,-79312.81295550219,-70179.82201706445,1251829.7016829893,4590.707,256.0089,   5528,7463,   4429,4655,   2994,2685,   7580,7698,   5384,688,   5896,1664,   5267,5760,   6538,6064,   3255,465,   6042,3319,   275,5436,   5893,4672,   3898,1898,   7206,5491,   5142,2882,   1730,4080,   7349,3737,   7760,3316,   6594,3699,   1853,8001,   
-24.152737,40,0,0,18613748,0,0,404727900,-5470.371625511288,-1618.7978906664025,7089.169516554942,-91787.6612838943,-18660.98658412057,1300806.885231214,3800.3008,276.16666,   4823,2286,   7269,7760,   6182,6487,   3588,8066,   75,1753,   6041,5164,   1645,4918,   879,92,   1570,8193,   756,1096,   3914,2089,   2555,2501,   7394,1815,   2751,1529,   6436,3221,   7906,7992,   7048,6476,   6932,6425,   6603,6568,   6925,5847,   
-39.468933,40,0,0,25869996,0,0,905798700,-9399.716215119877,-3160.344629820119,12560.060845087513,-162281.40289854602,-39325.19207845317,2377064.930090712,4111.624,223.49886,   6746,7576,   5416,3388,   5276,5002,   2435,2430,   2858,7667,   1746,6836,   2942,757,   4087,2734,   8166,4767,   366,4367,   3736,2059,   1630,5289,   2283,6485,   6552,3604,   6422,2889,   1924,3437,   1267,3345,   2785,4774,   5109,7603,   5660,2391,   
-28.754873,40,0,0,28153982,0,0,1.0925181E+09,-10162.76213335504,-2972.9309798847007,13135.69311286377,-189400.12190859512,-33075.19370639155,3963952.2151250634,6586.714,285.8927,   7815,321,   7106,7204,   1475,1069,   5049,6291,   2389,4197,   6694,1835,   6202,2558,   2110,4687,   5945,126,   1105,7226,   6886,7266,   4443,8404,   5743,6744,   5568,8032,   6407,7749,   6060,563,   7542,6410,   4987,3415,   3388,2862,   3813,1214,   
-15.5903015,40,0,0,23751377,0,0,868099460,-4706.615692109327,-1691.8921389826023,6398.507832178137,-82404.97023291572,-22716.33401028679,1088554.4489447975,5285.656,245.5449,   1436,260,   1215,2224,   4631,89,   5671,7145,   1234,6534,   7264,4982,   6497,6869,   3941,549,   4313,7137,   1461,3167,   3936,5452,   8320,3075,   6573,6131,   2728,8228,   6007,7131,   1298,3083,   4749,8327,   5790,6625,   6051,2218,   3773,5653,   
-28.055506,40,0,0,22208052,0,0,477550430,-7312.505558115429,-2377.3929020463875,9689.898459119175,-123739.60403145434,-32000.00105895634,2947684.1477963766,4410.5283,196.9487,   1073,6859,   6797,8308,   485,1078,   2501,673,   2468,4437,   7537,4687,   1400,646,   5713,4420,   376,6575,   4087,6936,   5796,5879,   1137,2539,   5235,4180,   233,6606,   1079,5752,   2933,2094,   3363,4243,   2093,5512,   7090,11,   2590,5494,   
-22.15992,40,0,0,29683753,0,0,1.0530498E+09,-6707.369764830141,-2629.702078999553,9337.071842225894,-121210.9431277014,-43997.38154606669,2327407.3445487837,5469.8276,242.89122,   3629,2055,   5759,1569,   8029,5047,   8029,5152,   1682,4102,   2613,1370,   6249,7911,   6566,5273,   8293,3630,   5722,4258,   3072,4740,   845,4331,   1503,5443,   1323,5593,   6988,201,   5765,364,   3984,7029,   3306,3740,   119,8003,   2945,188,   
-14.521871,40,0,0,22730649,0,0,972282700,-5311.180128244412,-1990.9590903648464,7302.139218760664,-88353.91604702252,-28385.96206698359,2237325.3166305753,6084.1963,275.71976,   2497,4566,   3993,8145,   7938,3458,   3963,6526,   4385,6899,   8226,2831,   5375,6285,   4648,7734,   2462,607,   65,2586,   3724,4525,   5550,2412,   4040,5885,   3926,7973,   1966,4552,   3510,6154,   1312,2884,   2243,4715,   337,8320,   5649,6481,   
-28.790325,40,0,0,25058486,0,0,720855230,-9912.28130646398,-3254.292093496824,13166.573398067138,-159925.21539677776,-38312.715141185574,3613714.6769439555,5554.825,279.5116,   1479,3232,   1208,88,   411,2933,   3425,6135,   2380,4008,   1278,7948,   7938,359,   4900,6408,   7451,1580,   4104,2053,   7967,4425,   4559,8268,   3389,2071,   1519,2490,   4042,8369,   7396,2577,   3393,2019,   1106,491,   3317,5462,   2001,1106,   
