score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.0002785905,-5708.1084,-432.25473,-896,321.619,-4697,-4723,5723,5958,-6097,-6454,-6763,7393,-7428,8158
-0.00027832162,-14299.609,-867.5258,-836,300.37195,3023,-3415,-3992,-4632,6125,6723,6806,-6937,-7471,-7524
-0.0002783139,-1115.493,-457.59235,-1014,364.3368,-5444,6117,6243,6611,6690,-7064,-7219,-7462,-8155,-8293
-0.00027825683,-11683.375,-593.0229,-763,274.2071,4099,-4523,-5076,6010,-6182,6396,-6692,-6758,7542,-7751
-0.00027809248,-4387.7617,-357.11707,-561,201.73145,-1992,-2442,2911,-3334,-3371,3398,-4315,-5013,6837,6906
-0.00027785223,-1752.943,-221.63623,-593,213.42279,-6617,6780,-7419,-7446,7499,-7570,7657,-7736,7743,-8075
-0.0002778501,-5129.961,-46.99048,-1003,360.986,-3934,3935,4182,-4669,4844,-6254,-6329,6652,-7476,-8180
-0.0002776732,-8401.127,-100.168045,-776,279.46518,4780,-4859,-5034,-5161,-5304,-5753,-6092,6802,7784,7793
-0.0002775983,-10743.247,-552.3705,-742,267.29272,585,-1076,1725,5407,5859,-5944,-5961,-5987,-6820,-7329
-0.00027700284,-5189.892,-373.09464,-726,262.0912,-341,-1224,2734,4009,-4545,5628,-6155,6355,-7038,-7972
-0.0002765834,-8577.652,-201.06511,-690,249.47267,-6180,-6701,7246,-7296,-7399,7552,-8044,8345,-8360,8388
-0.00027640263,-5632.23,-229.8825,-422,152.67584,-1398,-2380,2958,-3436,3571,-3866,5260,-5837,-5895,6816
-0.00027626468,-11045.071,-300.1532,-808,292.47314,2052,-2217,-3664,5036,-5245,-5980,5981,-7456,7476,-7975
-0.00027624523,-98.58711,-465.25085,-917,331.95145,5140,5711,-6247,6369,-6424,-6675,-7160,-7597,-8020,8058
